,Season,Team ID,TKey,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
83,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692014,353,3.895,0,2,63,16,42,0,41,-93,7,1375,651
84,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292014,372,4.027,0,4,55,48,47,0,34,-62,11,1498,928
85,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142014,473,4.304,0,8,69,69,65,0,46,-121,10,2036,1016
86,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732014,406,4.478,0,9,67,27,73,0,33,-73,16,1818,907
87,2014,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92014,470,4.63,0,15,90,90,64,0,49,-97,10,2176,1200
88,2014,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2014,397,3.295,0,15,22,5,38,0,43,-117,6,1308,726
89,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82014,525,5.261,0,19,79,79,81,0,41,-86,20,2762,1434
90,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242015,509,4.778,24,17,60,60,64,51,58,-133,19,2432,1204
91,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062015,344,4.349,12,10,85,85,43,6,34,-74,11,1496,964
92,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32015,448,4.17,23,13,58,31,61,35,51,-115,11,1868,1118
93,2015,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2015,383,3.666,18,19,38,38,65,8,30,-70,14,1404,887
94,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232015,467,3.865,12,17,38,38,83,34,35,-71,18,1805,987
95,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2015,380,4.024,13,6,54,11,54,41,47,-131,5,1529,855
96,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2015,383,3.859,14,2,44,14,48,9,42,-90,8,1478,770
97,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982015,388,4.443,13,20,55,11,69,16,38,-82,16,1724,997
98,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92015,396,3.631,9,19,37,37,60,34,37,-84,6,1438,839
99,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2015,354,4.161,16,6,45,28,52,25,29,-68,5,1473,727
100,2015,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72015,472,3.667,9,21,41,20,55,11,41,-85,7,1731,945
101,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152015,371,4.003,7,5,87,87,43,16,46,-85,10,1485,839
102,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02015,411,4.18,13,10,72,72,51,12,40,-81,13,1718,1058
103,2015,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22015,436,4.688,10,14,52,38,53,54,38,-85,19,2044,1050
104,2015,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12015,370,3.938,8,12,54,22,47,17,31,-72,7,1457,860
105,2015,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602015,408,4.632,15,8,50,37,39,19,39,-95,8,1890,1007
106,2015,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802015,442,3.943,12,12,63,63,56,12,48,-146,15,1743,940
107,2015,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2015,403,3.993,16,9,39,38,47,8,38,-79,5,1609,979
108,2015,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242015,429,3.65,10,14,48,39,61,4,53,-93,9,1566,926
109,2015,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82015,468,3.962,4,7,27,7,59,17,31,-60,13,1854,1040
110,2015,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2015,354,3.771,10,14,36,24,43,24,38,-76,7,1335,754
111,2015,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322015,436,4.243,18,14,65,65,43,43,44,-90,8,1850,967
112,2015,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522015,474,4.665,30,13,80,80,71,24,57,-129,18,2211,1093
113,2015,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692015,455,4.752,32,11,84,14,65,34,53,-119,12,2162,1304
114,2015,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292015,420,3.824,12,14,46,25,76,13,48,-126,13,1606,827
115,2015,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142015,526,4.338,10,18,47,16,105,28,44,-126,19,2282,1258
116,2015,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732015,397,3.756,9,17,70,11,72,3,39,-90,16,1491,930
117,2015,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92015,390,3.959,19,11,47,44,46,46,45,-101,7,1544,884
118,2015,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2015,452,4.241,19,30,63,63,61,7,47,-96,16,1917,1092
119,2015,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82015,500,4.536,22,23,69,69,67,57,42,-98,10,2268,1282
120,2016,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242016,492,5.346,20,6,75,75,57,51,57,-154,29,2630,1154
121,2016,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062016,405,4.504,35,5,62,62,25,14,51,-118,14,1824,1055
122,2016,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32016,418,4.311,22,6,35,35,26,26,39,-74,10,1802,790
123,2016,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2016,482,3.884,25,19,44,43,44,21,41,-71,19,1872,868
124,2016,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232016,446,3.966,19,9,74,74,31,22,37,-97,17,1769,889
125,2016,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2016,350,4.891,17,2,85,85,24,26,46,-106,13,1712,824
126,2016,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2016,367,3.986,18,12,41,18,13,9,38,-77,10,1463,784
127,2016,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982016,409,4.303,16,15,60,60,20,3,26,-73,13,1760,685
128,2016,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92016,409,3.98,8,18,33,14,23,42,22,-41,13,1628,678
129,2016,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2016,392,4.161,17,6,57,57,15,35,43,-94,8,1631,750
130,2016,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72016,456,4.077,17,13,45,24,20,18,34,-82,8,1859,825
131,2016,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152016,476,4.595,27,12,75,75,25,27,44,-96,16,2187,935
132,2016,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02016,410,3.62,8,14,64,28,17,20,42,-73,11,1484,762
133,2016,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22016,412,4.243,21,20,70,70,25,22,43,-101,15,1748,809
134,2016,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12016,434,4.429,14,19,75,75,24,17,31,-77,17,1922,900
135,2016,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602016,499,4.802,21,16,60,60,25,28,40,-102,24,2396,985
136,2016,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802016,438,4.139,18,11,30,25,38,19,53,-120,16,1813,905
137,2016,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2016,398,3.548,12,18,25,2,10,3,34,-68,6,1412,723
138,2016,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242016,379,4.475,15,13,66,61,30,9,34,-81,17,1696,1058
139,2016,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82016,380,4.566,19,7,69,9,16,5,33,-70,10,1735,865
140,2016,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2016,350,3.743,20,8,42,21,14,25,48,-109,9,1310,844
141,2016,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322016,374,4.548,18,18,61,42,19,44,37,-71,11,1701,731
142,2016,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522016,380,3.171,13,15,36,10,28,8,46,-102,9,1205,474
143,2016,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692016,453,3.567,18,16,45,44,15,29,54,-114,8,1616,780
144,2016,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292016,421,4.58,19,13,75,75,29,16,49,-114,20,1928,809
