,Season,Team ID,TKey,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards
85,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142014,35,30.794,1,53,29,1047
86,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732014,22,28.909,0,50,19,636
87,2014,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92014,31,31.6,1,55,25,948
88,2014,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2014,33,33.0,0,51,29,1089
89,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82014,37,31.057,2,58,31,1087
90,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242015,27,31.778,0,52,23,858
91,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062015,16,28.25,0,53,13,452
92,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32015,33,30.121,0,55,27,994
93,2015,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2015,36,35.25,0,57,33,1269
94,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232015,28,31.704,1,52,23,856
95,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2015,32,33.393,4,47,28,935
96,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2015,40,30.325,0,52,33,1213
97,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982015,42,29.381,0,51,35,1234
98,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92015,27,35.593,0,55,25,961
99,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2015,30,31.31,1,58,26,908
100,2015,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72015,27,30.259,0,51,23,817
101,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152015,16,34.75,0,51,14,556
102,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02015,35,30.657,0,57,30,1073
