,Season,Team ID,TKey,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
94,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232015,2325,12.287,19,319,26,80,80,334,65,495,31,4104,1779,547
95,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2015,2207,11.202,16,370,42,61,60,371,87,601,20,4156,1949,550
96,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2015,2348,10.444,27,437,35,50,50,426,75,668,21,4449,2101,708
97,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982015,2903,12.332,22,390,30,88,88,391,77,584,26,4822,1919,572
98,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92015,2286,11.065,10,365,33,87,87,355,72,604,26,3928,1642,350
99,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2015,2570,12.473,15,362,39,90,90,355,87,601,35,4428,1858,597
100,2015,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72015,2732,11.394,11,392,46,61,61,358,70,614,29,4079,1347,360
101,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152015,2269,11.383,14,365,38,61,61,342,55,543,25,3893,1624,558
102,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02015,2344,11.457,19,379,39,75,75,368,69,604,19,4216,1872,588
103,2015,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22015,1557,11.268,11,298,22,80,80,310,58,463,20,3493,1936,600
104,2015,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12015,2291,11.07,18,385,50,68,68,373,56,601,34,4129,1838,720
105,2015,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602015,1921,11.009,11,341,30,67,42,334,71,519,16,3677,1756,374
