,Player Season,Player ID,Team ID,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
101,2013,24cf6148-f0af-4103-a215-e06956764953,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,170,4.088,0,0,35,35,21,0,17,-35,5,695,384
102,2013,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,7,2.857,0,2,10,0,0,0,0,0,0,20,21
103,2013,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,61,3.0,0,20,12,8,6,0,0,0,2,183,57
104,2013,01291a8d-d97c-4d88-b497-b5ad4b72f626,d5a2eb42-8065-4174-ab79-0a6fa820e35e,12,3.667,0,2,11,0,1,0,0,0,0,44,0
105,2013,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,d5a2eb42-8065-4174-ab79-0a6fa820e35e,1,45.0,0,0,45,0,0,0,0,0,0,45,20
106,2013,af4ba620-2f00-4b00-9111-7897f2b1cde8,d5a2eb42-8065-4174-ab79-0a6fa820e35e,6,2.667,0,3,11,0,0,0,1,-2,0,16,13
107,2013,b228c353-bb1f-4ba8-aa6d-d18ecf297259,d5a2eb42-8065-4174-ab79-0a6fa820e35e,5,17.6,0,0,34,0,0,0,0,0,0,88,49
108,2013,64797df2-efd3-4b27-86ee-1d48f7edb09f,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,27,4.852,0,8,22,1,5,0,0,0,1,131,40
109,2013,7f3ef024-eb34-46af-8b9e-544cdf09378f,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,8,8.0,0,0,25,0,0,0,2,-13,0,64,9
110,2013,16e33176-b73e-49b7-b0aa-c405b47a706e,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,7,0.571,0,0,10,0,0,0,2,-16,0,4,7
111,2013,ea357add-1a41-4a8b-8f34-bbfade7f4d98,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,27,3.667,0,10,19,13,4,0,0,0,1,99,38
112,2013,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,25.0,0,0,25,0,0,0,0,0,0,25,3
113,2013,b8426cea-f8b9-4061-8d56-e70d1230103e,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,2,3.0,0,0,3,0,0,0,0,0,0,6,2
114,2013,c456e060-d4d8-46cb-acf4-296edfb4f7bd,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,3,8.667,0,0,30,0,0,0,1,-11,0,26,4
115,2013,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,63,5.984,0,15,29,19,10,0,0,0,4,377,159
116,2013,de816e24-8442-49a4-99cd-dde7e7c05863,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,9,3.556,0,0,7,0,1,0,1,-1,0,32,7
117,2013,f55053e4-4bfd-495d-981a-d62e3662f01b,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,27,2.852,0,2,14,0,4,0,2,-5,0,77,46
118,2013,1b3d350a-478b-4542-a430-d12cc96adc22,82d2d380-3834-4938-835f-aec541e5ece7,14,5.143,0,1,22,5,3,0,1,-3,1,72,26
119,2013,1f09583f-dcc1-43e8-a7fc-f063d2c96508,82d2d380-3834-4938-835f-aec541e5ece7,5,4.8,0,0,7,0,0,0,0,0,0,24,4
120,2013,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,d26a1ca5-722d-4274-8f97-c92e49c96315,43,5.233,0,7,26,9,8,0,0,0,3,225,127
121,2013,0847010c-9a77-4f0b-9d63-c8b4b224d263,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,3,0.667,0,2,4,0,0,0,0,0,0,2,11
122,2013,f7841baa-9284-4c03-b698-442570651c6c,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,7,5.429,0,0,11,0,0,0,0,0,0,38,22
123,2013,0045a36c-f464-49e0-a25a-9210edc94bc1,6680d28d-d4d2-49f6-aace-5292d3ec02c2,14,3.714,0,7,29,0,1,0,0,0,0,52,17
124,2013,2fda010a-8c62-4c07-b601-4ba03f57e6af,6680d28d-d4d2-49f6-aace-5292d3ec02c2,76,5.671,0,12,26,5,13,0,1,-2,1,431,71
125,2013,aca06a5e-0e3a-4285-a025-199f8fa0376f,6680d28d-d4d2-49f6-aace-5292d3ec02c2,259,4.969,0,0,46,31,42,0,12,-23,12,1287,578
126,2013,e033ce15-9fc5-430b-90e2-90dfe52b21c1,6680d28d-d4d2-49f6-aace-5292d3ec02c2,2,1.5,0,0,2,0,1,0,0,0,0,3,2
127,2013,5a20a439-bebc-4ef7-8b9f-30e1d677a26b,1c1cec48-6352-4556-b789-35304c1a6ae1,3,2.0,0,0,4,0,0,0,0,0,0,6,2
128,2013,adadafa1-dc37-486d-8538-7db1e1b5f71e,1c1cec48-6352-4556-b789-35304c1a6ae1,5,4.6,0,0,19,0,0,0,0,0,0,23,2
129,2013,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,1c1cec48-6352-4556-b789-35304c1a6ae1,83,6.94,0,4,93,93,6,0,10,-34,2,576,147
130,2013,d2cad5f8-b35f-4cf4-9567-57c387ba6225,1c1cec48-6352-4556-b789-35304c1a6ae1,2,8.5,0,0,9,0,0,0,0,0,0,17,8
131,2013,3c2db5b7-77bf-4c52-bb77-b0fe3cf89e5e,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,3,1.333,0,0,5,0,1,0,1,-3,0,4,8
132,2013,5ed2cea8-e0c6-482c-9ee1-548c06612226,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,1,6.0,0,0,6,0,0,0,0,0,0,6,1
133,2013,166292fc-629e-4c7b-b7bf-f572ca9eeb43,386bdbf9-9eea-4869-bb9a-274b0bc66e80,314,5.118,0,0,57,57,38,0,33,-91,9,1607,748
134,2013,3e618eb6-41f2-4f20-ad70-2460f9366f43,386bdbf9-9eea-4869-bb9a-274b0bc66e80,3,0.667,0,0,8,0,1,0,1,-10,0,2,1
