,Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Red Zone Targets PG,Rec Receptions PG,Rec Touchdowns PG,Rec Yards PG,Fumbles PG,Lost Fumbles PG,Rush Attempts PG,Rush Avg Yards PG,Rush Red Zone Attempts PG,Rush Scrambles PG,Rush Touchdowns PG,Rush Yards PG,Passing Completion Pct,Passing Hurries PG,Passing Interceptions PG,Passing Redzone Attempts PG,Passing Touchdowns PG,Passing Yards PG,Field Goal Attempts PG,Field Goal Longest,Field Goal Made PG,Field Goal Yards PG,Extra Pts Attempts PG,Extra Pts Made PG,PID
317,22fb2b54-4936-4e8a-a48d-62096c0c9bb1 2014 de760528-1dc0-416a-a978-b510d20692ff,Drew Stanton,Cardinals,2014,QB,9,8,30,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,2.7777777777777777,0.28,0.4444444444444444,0.0,0.0,7.0,55.0,0.0,0.5555555555555556,2.6666666666666665,0.7777777777777778,190.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,22fb2b54-4936-4e8a-a48d-62096c0c9bb1
318,22fb2b54-4936-4e8a-a48d-62096c0c9bb1 2015 de760528-1dc0-416a-a978-b510d20692ff,Drew Stanton,Cardinals,2015,QB,7,0,31,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428568,-0.14285714285714285,0.0,0.0,0.0,-1.8571428571428568,44.0,1.4285714285714286,0.2857142857142857,0.42857142857142855,0.0,14.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,22fb2b54-4936-4e8a-a48d-62096c0c9bb1
319,22fb2b54-4936-4e8a-a48d-62096c0c9bb1 2016 de760528-1dc0-416a-a978-b510d20692ff,Drew Stanton,Cardinals,2016,QB,5,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-0.2,0.0,0.0,0.0,-0.6,39.583,1.0,0.6,0.0,0.4,38.4,0.0,0.0,0.0,0.0,0.0,0.0,22fb2b54-4936-4e8a-a48d-62096c0c9bb1
320,22fb2b54-4936-4e8a-a48d-62096c0c9bb1 2017 de760528-1dc0-416a-a978-b510d20692ff,Drew Stanton,Cardinals,2017,QB,5,4,33,0.0,0.0,0.0,0.0,0.6,0.0,1.8,0.15560000000000002,0.2,0.2,0.0,1.4,49.68600000000001,3.6,1.0,1.8,1.2,178.8,0.0,0.0,0.0,0.0,0.0,0.0,22fb2b54-4936-4e8a-a48d-62096c0c9bb1
343,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Andrew Luck,Colts,2012,QB,16,16,23,0.0,0.0,0.0,0.0,0.625,0.3125,3.875,0.2570625,0.1875,0.0,0.3125,15.9375,54.067,0.0,1.125,0.5625,1.4375,273.375,0.0,0.0,0.0,0.0,0.0,0.0,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512
344,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Andrew Luck,Colts,2013,QB,16,16,24,0.0,0.0,0.0,0.0,0.375,0.125,3.9375,0.374,0.625,0.0,0.25,23.5625,60.175,0.0,0.5625,4.375,1.4375,238.875,0.0,0.0,0.0,0.0,0.0,0.0,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512
345,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2014 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Andrew Luck,Colts,2014,QB,16,16,25,0.0,0.0,0.0,0.0,0.8125,0.375,4.0,0.266625,1.0,0.0,0.1875,17.0625,61.688,0.0,1.0,5.125,2.5,297.5625,0.0,0.0,0.0,0.0,0.0,0.0,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512
346,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Andrew Luck,Colts,2015,QB,7,7,26,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,4.714285714285714,0.8484285714285714,0.8571428571428571,3.571428571428572,0.0,28.0,55.29,10.714285714285714,1.7142857142857142,5.142857142857143,2.142857142857143,268.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512
347,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2016 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Andrew Luck,Colts,2016,QB,15,15,27,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,4.266666666666667,0.3551999999999999,0.2,2.7333333333333334,0.13333333333333333,22.73333333333333,63.486000000000004,6.133333333333334,0.8666666666666667,1.6666666666666667,2.066666666666667,282.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512
349,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2018 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Andrew Luck,Colts,2018,QB,16,16,29,0.0,0.0625,0.0,0.25,0.375,0.0625,2.875,0.2010625,0.1875,1.3125,0.0,9.25,67.293,3.125,0.9375,2.3125,2.4375,287.0625,0.0,0.0,0.0,0.0,0.0,0.0,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512
