,Player ID,Season,Penalties,Penalty Yards
122,16e33176-b73e-49b7-b0aa-c405b47a706e,2013,3,35
123,ea357add-1a41-4a8b-8f34-bbfade7f4d98,2013,3,15
124,f9036897-99d5-4d9a-8965-0c7e0f9e43bd,2013,1,5
125,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,2013,2,15
126,bd413539-9351-454e-9d61-4e8635d7e9f5,2013,1,5
127,c456e060-d4d8-46cb-acf4-296edfb4f7bd,2013,1,10
128,9c21e9af-681c-41ef-9b00-fbc9e1668ed1,2013,1,5
129,de816e24-8442-49a4-99cd-dde7e7c05863,2013,1,5
130,f55053e4-4bfd-495d-981a-d62e3662f01b,2013,7,48
131,1b3d350a-478b-4542-a430-d12cc96adc22,2013,2,20
132,1f09583f-dcc1-43e8-a7fc-f063d2c96508,2013,2,22
133,5c48ade7-4b9a-4757-9643-87a6e3839e2b,2013,2,25
134,cb1df42c-b59c-4e23-a9a2-fbfc2b39ef71,2013,2,15
135,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,2013,2,10
136,441e8866-33f1-4820-9fa3-3aa2c7535975,2013,2,25
137,ccce5e8e-52ca-4f0f-a40f-fe5e7227d156,2013,6,60
138,f636d7ce-05f9-43d7-b63f-351acb5c2a70,2013,1,15
139,6e444737-a1e1-4ddd-b963-cd6a9496fde0,2013,1,5
140,6ef43c53-53d7-4b0f-ad99-17664d663ae8,2013,1,15
141,2fda010a-8c62-4c07-b601-4ba03f57e6af,2013,6,35
142,aca06a5e-0e3a-4285-a025-199f8fa0376f,2013,2,15
143,e033ce15-9fc5-430b-90e2-90dfe52b21c1,2013,2,11
144,996974b8-2e0a-47d9-90a7-c3455192d06b,2013,1,4
145,adadafa1-dc37-486d-8538-7db1e1b5f71e,2013,1,10
146,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,2013,8,67
147,d2cad5f8-b35f-4cf4-9567-57c387ba6225,2013,1,15
148,3c2db5b7-77bf-4c52-bb77-b0fe3cf89e5e,2013,1,10
149,5ed2cea8-e0c6-482c-9ee1-548c06612226,2013,2,15
150,7092bb09-a161-4ab9-8d19-fdcf1a91bb3d,2013,1,5
151,166292fc-629e-4c7b-b7bf-f572ca9eeb43,2013,1,7
152,3e618eb6-41f2-4f20-ad70-2460f9366f43,2013,2,30
153,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,2013,4,40
154,6cb6226e-f08c-4192-95f1-69709ed686c6,2013,12,99
155,1b8db398-7a7e-44df-922e-d979507e6bdb,2013,1,7
156,38f5843a-8318-4eb7-b517-c83d415e77a4,2013,2,25
157,518c96c5-65bb-4559-8074-9cdb2ca32f99,2013,4,32
158,8dfb370d-460c-4bfc-9d62-888687248783,2013,6,44
159,a824d9ff-12a4-4ed2-812d-404b0b4e52f9,2013,4,35
