,Player Season,Player ID,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
230,2018,46b16198-116f-4913-85db-2bc21462bd66,0.0,0,0,0,1,0,0
231,2018,5ed2cea8-e0c6-482c-9ee1-548c06612226,14.05,15,99,99,20,1,281
232,2018,9f2aebe4-b654-4f0e-a437-ec46f20b6bfe,3.5,2,7,0,2,0,7
233,2018,c78c299b-7c73-40fc-9155-2ede7f9849c7,1.5,2,3,0,2,0,3
234,2018,502b3a6c-e965-478a-858e-964b4ac2296c,5.8,7,22,0,10,0,58
235,2018,7092bb09-a161-4ab9-8d19-fdcf1a91bb3d,5.545,18,14,0,11,0,61
236,2018,15b156b5-30cc-4070-b60a-1c09e62c5a9b,8.3,9,14,0,10,0,83
237,2018,69568326-f210-4b88-a5cb-10376c64893e,2.833,2,10,0,6,0,17
238,2018,9ae2584a-40c1-4b30-be34-a9567659eacd,10.3,0,42,0,10,0,103
239,2018,c88d9352-b835-45ed-a909-1cfec09a58bc,2.6,0,12,0,5,0,13
240,2018,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,0.0,0,0,0,1,0,0
241,2018,0f28eda1-8042-4d0c-9392-81ef58be62a5,7.417,4,23,0,12,0,89
242,2018,16cd3b59-18a2-40a0-9236-e222bed17044,3.0,1,6,0,2,0,6
243,2018,354dec38-b88b-4ba0-8974-859123f27c45,4.25,2,16,0,8,0,34
244,2018,6efb8027-b537-4dd1-883f-459450708ad4,19.0,2,19,0,1,0,19
245,2018,c5f35a06-791b-43e1-befc-df0c54b3b486,3.0,1,6,0,5,0,15
246,2018,e120460b-5596-49ba-a601-b3d9ef9f5883,7.556,3,21,0,9,0,68
247,2018,35341f6c-bca9-427b-a8eb-f9a24a334184,13.0,4,30,0,4,0,52
248,2018,8002dd5e-a75a-4d72-9a8c-0f4dbc80d459,10.0,3,11,0,2,0,20
249,2018,c1ca7e3d-f072-41c7-8017-53401dbdd4d4,3.667,3,6,0,3,0,11
250,2018,a8342d20-9901-49a6-bc45-79f192418188,12.455,21,44,0,33,0,411
251,2018,40958157-617f-40b4-91e5-9895f66da29c,10.875,8,25,0,8,0,87
252,2018,5ec01774-4a79-40aa-be4a-e33c71bd5bf4,4.0,3,5,0,2,0,8
253,2018,617435c6-4a3f-4689-ab15-44bd93b33615,0.0,5,0,0,1,0,0
254,2018,c88d9352-b835-45ed-a909-1cfec09a58bc,7.5,0,9,0,2,0,15
255,2018,3283f152-d373-43b3-b88f-f6f261c48e81,6.571,6,17,0,7,0,46
256,2018,bc175901-4a1f-4132-abb4-e49cc7d35e12,11.0,1,15,0,4,0,44
257,2018,2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4,0.0,1,0,0,0,0,0
258,2018,3885b40b-c31b-4cd6-a0fd-3d24bede2771,6.5,4,9,0,4,0,26
259,2018,50eb4454-71bf-4012-a216-2fc9770ffd86,0.0,1,0,0,0,0,0
260,2018,3e618eb6-41f2-4f20-ad70-2460f9366f43,4.8,0,11,0,5,0,24
261,2018,d6d41a89-a8af-48b9-bf75-561de99a1d87,6.619,15,16,0,21,0,139
262,2018,052a93cf-8536-4a12-9831-84b27e8608da,7.35,23,18,0,20,0,147
263,2018,1283923a-9716-4936-920a-a57f019bb2e8,0.0,1,0,0,1,0,0
264,2018,48d7bc31-808f-423c-afc8-45c2c5dfa45f,9.455,5,30,0,11,0,104
265,2018,5ec072b3-2837-4cf1-bb4f-ecd873949626,4.143,6,13,0,7,0,29
266,2018,d8202e6d-d03b-4cd1-a793-ff8fd39d9755,5.333,5,15,0,6,0,32
267,2018,3289f9ce-e1d1-40ed-9d3f-242a1712c586,5.0,0,8,0,3,0,15
268,2018,3aef6950-1c19-4454-a3d0-0afe9634ea9f,0.0,2,0,0,0,0,0
269,2018,3c8a55dd-20a8-4375-b711-49eb5e6e1d0e,0.0,0,0,0,1,0,0
270,2018,4316bbf5-0d02-4392-9fbc-33be86f87446,0.0,1,0,0,0,0,0
271,2018,b103b096-6be9-4f87-9ae4-5d217f560685,7.5,6,17,0,8,0,60
272,2018,d9c857b2-97da-4fb8-a527-afbbb2a67413,6.833,9,16,0,12,0,82
273,2018,20d16690-560b-4a01-af20-8870ef07ea70,3.0,2,14,0,9,0,27
274,2018,3e2e74e9-18a8-4275-9437-b275db27e2ff,7.8,6,18,0,10,0,78
275,2018,4aae1781-1eec-48c0-b41f-e4fee61c3c32,6.25,10,23,0,12,0,75
276,2018,4f724338-aa8c-436d-90b2-45299572c53e,11.167,0,45,0,6,0,67
277,2018,ebcd87ce-218c-4144-810b-921c2f59d6e8,7.81,17,44,0,21,0,164
278,2018,2806e915-c46f-492f-8a29-71d3a85e5620,4.0,3,4,0,1,0,4
279,2018,2d52ede5-1c65-4f18-a8ac-9306192ef625,10.769,10,60,0,26,0,280
280,2018,4f724338-aa8c-436d-90b2-45299572c53e,6.0,1,12,0,2,0,12
281,2018,618bedee-9259-4536-b0ff-fec98d2a20de,0.0,1,0,0,0,0,0
282,2018,dffa69ad-331e-4f09-ae38-40a5a4406be6,5.72,20,19,0,25,0,143
