,Player ID,Season,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
79,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,2014,6.88,128,59.673,219,0,18,2525,0,13,0,74,74,2350,0.0,77.5,48,175,28,0,24,13,2525
80,41c44740-d0f6-44ab-8347-3b5d515e5ecf,2014,7.06,140,64.089,373,0,32,4109,0,9,0,69,69,3975,0.0,97.4,74,134,21,0,21,33,4109
81,42de9d1d-0352-460b-9172-9452414fd7fd,2014,6.741,6,70.37,19,0,0,182,0,0,0,37,13,146,0.0,101.2,1,36,5,0,2,1,182
82,1726a359-9444-4761-a1f2-cb35ee6fa60e,2014,26.333,0,100.0,3,0,0,79,0,0,0,50,18,73,0.0,158.3,1,6,1,0,0,1,79
83,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,2014,7.064,148,64.241,309,0,22,3398,0,17,0,81,81,3274,0.0,83.5,51,124,21,0,20,19,3398
84,af4ba620-2f00-4b00-9111-7897f2b1cde8,2014,7.594,152,55.251,242,0,20,3326,0,13,0,81,81,3166,0.0,76.5,40,160,24,0,14,12,3326
85,b228c353-bb1f-4ba8-aa6d-d18ecf297259,2014,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,1,0,0
86,64797df2-efd3-4b27-86ee-1d48f7edb09f,2014,7.195,214,62.094,344,0,37,3986,0,12,0,80,80,3819,0.0,91.0,70,167,19,0,21,27,3986
87,16e33176-b73e-49b7-b0aa-c405b47a706e,2014,10.0,0,100.0,2,0,0,20,0,0,0,17,3,20,0.0,147.9,1,0,0,0,0,1,20
88,ea357add-1a41-4a8b-8f34-bbfade7f4d98,2014,8.145,153,67.105,408,0,29,4952,0,9,0,94,94,4780,0.0,103.3,91,172,33,0,5,32,4952
89,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,2014,7.729,207,61.688,380,0,38,4761,0,16,0,80,79,4600,0.0,96.5,82,161,27,0,22,40,4761
90,6723249c-5fb5-4b0a-9373-cb59cdc99ec8,2014,6.122,168,58.947,280,0,31,2908,0,17,0,63,63,2563,0.0,69.5,38,345,55,0,9,11,2908
91,f55053e4-4bfd-495d-981a-d62e3662f01b,2014,6.308,40,53.846,42,0,5,492,0,1,0,63,63,387,0.0,80.7,4,105,16,0,1,3,492
92,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,2014,7.958,107,63.141,197,0,16,2483,0,8,0,76,76,2400,0.0,95.3,38,83,21,0,4,17,2483
