,Player Season,Player ID,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
173,2018,0d1171d4-c955-4966-9257-640b569866d1,27,0,23
174,2018,d96ff17c-841a-4768-8e08-3a4cfcb7f717,17,0,17
175,2018,218d1644-603e-4da3-9ce1-48ce3927494f,35,0,33
176,2018,be449b4d-799c-4045-8e9e-e8a7fd7c2cc8,8,0,8
177,2018,0d1171d4-c955-4966-9257-640b569866d1,8,0,7
178,2018,63f8a401-f308-4463-9d0b-4335b98da682,33,0,30
179,2018,c4cf84d0-6022-4ac1-a9ba-85587921c53f,53,0,52
180,2018,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,29,0,27
181,2018,bd49c4a4-1314-45e1-bff5-fc67ba41d1dd,3,0,3
182,2018,cd0f4ef0-9914-4125-be4d-804a72350ceb,6,0,5
183,2018,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,15,0,15
184,2018,93d11276-45d2-4168-a9b7-df0cbf12dabb,36,0,35
185,2018,d96ff17c-841a-4768-8e08-3a4cfcb7f717,6,0,5
186,2018,f61e6429-3f9b-478c-8697-e00fe813ce9c,10,0,10
187,2018,480277d1-47c9-44df-969e-038a84cd0fea,51,0,48
