,Player Season,Player ID,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
78,2012,82bce0be-9a87-4b6d-a85b-623bf8d1674e,315,5.048,0,0,77,77,3,0,24,-58,11,1590,872
79,2012,c88d9352-b835-45ed-a909-1cfec09a58bc,3,6.667,0,0,13,0,0,0,1,-1,0,20,6
80,2013,618bedee-9259-4536-b0ff-fec98d2a20de,2,8.0,0,0,13,0,0,0,0,0,0,16,2
81,2013,bf52ff53-35a6-4696-ac6d-3fa952dc2c87,3,4.333,0,0,17,0,0,0,2,-4,0,13,1
82,2013,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,7,2.143,0,0,13,1,3,0,1,-1,1,15,11
83,2013,5812204c-6dae-4450-8011-99e0f72864ac,40,5.95,0,9,48,1,5,0,0,0,1,238,70
84,2013,a212c5d8-67f8-48b9-99be-2c121ee56366,177,4.006,0,0,49,10,18,0,24,-46,2,709,364
85,2013,b37b5be9-4771-4368-988f-fb936f4fc0ad,3,11.0,0,0,13,0,0,0,0,0,0,33,22
86,2013,d08da2a3-8296-4038-bb46-ab1feca4bbd4,6,3.5,0,0,6,0,1,0,1,-1,0,21,10
87,2013,4a38cda2-e92f-47f8-b324-0c34e09d83f2,176,3.96,0,0,39,3,18,0,9,-18,1,697,383
88,2013,72f5a27a-544f-468a-b10b-89a1fc5d0e9f,182,4.577,0,0,69,15,18,0,19,-37,3,833,548
89,2013,769d7178-df4e-4127-8166-8116165921e8,4,2.75,0,0,8,0,0,0,1,-1,0,11,6
90,2013,97c96dce-9b33-4d0e-ba01-5eb629192d19,17,3.647,0,0,8,0,2,0,0,0,0,62,34
91,2013,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,72,5.083,0,10,32,17,11,0,4,-16,6,366,99
92,2013,170b4c5f-a345-4899-8d81-e8982b0f3d65,178,4.343,0,0,29,17,31,0,14,-23,7,773,388
93,2013,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,2,5.5,0,0,7,0,0,0,0,0,0,11,4
94,2013,41c44740-d0f6-44ab-8347-3b5d515e5ecf,32,0.563,0,20,11,0,7,0,2,-2,0,18,7
95,2013,973bfe3c-6d0d-4130-a79c-f860650b1da6,1,1.0,0,0,1,0,0,0,0,0,0,1,0
