,Player ID,Season,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
1487,cb1df42c-b59c-4e23-a9a2-fbfc2b39ef71,2017,81,12.154,0,1,1,35,12,13,1,26,1,158,77,11
1488,cbf1cdba-d165-45f7-a695-5e0971dd9042,2017,12,7.714,1,0,0,14,0,7,2,9,0,54,42,25
1489,eec5265c-7731-4bb6-8af2-4f98a67f9ab7,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1490,f22b34cf-6ecf-4522-9c77-1da275dfda7d,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1491,01291a8d-d97c-4d88-b497-b5ad4b72f626,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1492,0f062def-77f5-4362-86cb-4bdb63a59eba,2017,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
1493,29972cbe-2912-49df-916b-200eead9a218,2017,172,14.438,0,1,0,53,53,16,0,28,1,231,59,8
1494,481da4a3-fb29-4480-9db4-9cffdf33f510,2017,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
1495,5b712aed-201c-43dd-b978-b7b6ef91178e,2017,4,12.0,0,0,0,12,0,1,0,2,0,12,8,4
1496,7c16c04c-04de-41f3-ac16-ad6a9435e3f7,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1497,8263e101-aa33-435f-bf0f-388e1c4eeb59,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1498,865d8df9-06ec-40c3-8c71-637f9fd0bcbf,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1499,87c481c7-7414-43cc-82df-19ca0c2ae22e,2017,11,12.364,0,2,2,66,66,11,0,17,1,136,125,17
1500,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,2017,518,15.0,4,3,3,75,75,53,3,87,4,795,277,115
1501,ccce5e8e-52ca-4f0f-a40f-fe5e7227d156,2017,562,10.905,1,3,3,42,24,74,3,111,3,807,245,78
1502,e21e9081-44aa-464b-8d3e-83918d48b921,2017,274,11.029,3,1,1,37,0,34,2,65,0,375,101,48
1503,e4f25a37-74de-4bfb-b6c9-f50a4fab0b87,2017,61,8.722,1,1,1,32,32,18,2,30,2,157,96,24
1504,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1505,0847010c-9a77-4f0b-9d63-c8b4b224d263,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1506,132721b4-fd32-4795-b214-ab4baaaceb3a,2017,243,12.069,3,5,5,29,22,29,4,56,3,350,107,33
1507,1fe3aadd-336b-4838-888e-8c9609747afc,2017,79,15.778,2,1,1,54,54,9,1,18,2,142,63,36
1508,25e58aee-1b33-4468-9a81-6586426b91d5,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
