,Season,Team ID,TKey,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
74,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12014,109,4.502,39.972,45.229,0,490.71,31,62,4357,513,3,4930
75,2014,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602014,58,4.497,40.456,45.368,1,256.34999999999997,21,64,2306,240,2,2586
76,2014,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802014,76,4.29,38.855,43.829,0,326.03999999999996,34,68,2953,238,7,3331
77,2014,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2014,81,4.122,39.113,45.5,1,329.77,25,71,3129,391,6,3640
78,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242014,78,4.579,40.545,47.519,1,352.61000000000007,22,77,3122,397,7,3659
79,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82014,72,4.436,38.197,43.761,1,314.94,20,61,2712,335,3,3107
80,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2014,68,4.686,40.103,46.147,0,318.66999999999996,29,71,2727,311,5,3138
81,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322014,51,4.23,38.531,44.061,2,207.27,14,63,1888,191,4,2159
82,2014,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522014,76,4.347,39.24,44.24,1,326.06,21,62,2943,255,6,3318
83,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692014,79,4.381,37.551,40.436,1,341.68,17,56,2929,185,2,3154
