,Season,Team ID,TKey,3D Attempt,3D Successes,3D Pct,4D Attempt,4D Successes,4D Pct,Goal to Go Attempts,Goal to Go Successes,Goal to Go Pct,RedZone Attempts,RedZone Successes,RedZone Pct
121,2016,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062016,188,69,36.702,4,0,0.0,23,14,60.87,47,26,55.319
122,2016,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32016,210,76,36.19,19,8,42.105,21,10,47.619,54,19,35.185
123,2016,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2016,227,104,45.815,12,8,66.667,37,26,70.27,60,38,63.333
124,2016,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232016,210,82,39.048,9,7,77.778,29,21,72.414,54,29,53.704
125,2016,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2016,212,77,36.321,18,13,72.222,22,14,63.636,44,24,54.545
126,2016,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2016,233,86,36.91,19,8,42.105,18,15,83.333,46,24,52.174
127,2016,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982016,202,83,41.089,16,9,56.25,20,17,85.0,49,29,59.184
128,2016,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92016,202,87,43.069,18,8,44.444,29,24,82.759,53,35,66.038
129,2016,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2016,221,78,35.294,16,7,43.75,19,15,78.947,40,24,60.0
130,2016,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72016,233,87,37.339,23,9,39.13,24,14,58.333,44,18,40.909
131,2016,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152016,217,100,46.083,11,4,36.364,32,25,78.125,50,36,72.0
132,2016,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02016,219,75,34.247,17,9,52.941,26,18,69.231,47,22,46.809
133,2016,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22016,213,81,38.028,14,10,71.429,29,16,55.172,55,25,45.455
134,2016,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12016,218,83,38.073,13,6,46.154,34,25,73.529,56,32,57.143
135,2016,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602016,189,80,42.328,9,8,88.889,35,29,82.857,57,38,66.667
