,Season,Team ID,TKey,Pass Air Yds,Pass Attempts,Pass Avg Pocket Time,Pass Poor Throws,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
51,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322013,2306,570,0,0,7.488,151,64.211,366,0,28,4538,0,16,0,83,83,4268,0.0,91,87,270,45,0,33,25,4268
52,2013,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522013,2061,546,0,0,6.277,200,59.524,325,0,26,3645,0,19,0,79,79,3427,0.0,76,63,218,44,0,21,18,3427
53,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692013,2045,514,0,0,5.486,190,56.615,291,0,31,3181,0,12,0,85,85,2820,0.0,79,57,361,47,0,23,22,2820
54,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292013,2403,659,0,0,6.439,202,67.527,445,0,40,4541,0,17,0,81,81,4243,0.0,89,93,298,44,0,19,26,4243
55,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142013,1766,473,0,0,6.433,197,61.734,292,0,23,3379,0,13,0,79,79,3043,0.0,88,54,336,43,0,20,24,3043
56,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732013,2722,651,0,0,7.555,172,68.51,446,0,25,5162,0,12,0,76,76,4918,0.0,104,85,244,37,0,26,39,4918
57,2013,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92013,1871,417,0,0,7.144,162,58.513,244,0,26,3210,0,8,0,64,64,2979,0.0,91,51,231,39,0,14,21,2979
58,2013,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2013,2535,574,0,0,6.972,183,63.24,363,0,20,4291,0,22,0,91,91,4002,0.0,83,70,289,41,0,16,24,4002
59,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82013,1991,420,0,0,7.705,186,63.571,267,0,14,3508,0,9,0,80,80,3236,0.0,102,54,272,44,0,21,27,3236
60,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242014,1779,579,0,0,6.242,188,62.694,363,0,28,3856,0,13,0,84,80,3614,0.0,86,68,242,39,0,26,23,3614
