,Season,Team ID,TKey,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
63,2014,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2014,23,16,99,0,0,1,955,0,53,6328
64,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232014,37,15,81,1,0,0,1123,0,37,5316
65,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2014,25,16,71,0,0,0,695,0,40,4679
66,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2014,21,14,88,2,0,1,601,0,60,5704
67,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982014,30,12,89,3,0,1,1249,0,32,5552
68,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92014,21,15,99,3,3,0,587,0,70,6335
69,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2014,16,8,65,5,2,1,516,0,37,3955
70,2014,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72014,33,12,87,2,0,0,1169,0,40,5680
71,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152014,20,5,65,3,0,0,855,0,31,4086
72,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02014,22,10,99,0,0,0,905,0,64,6437
73,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22014,29,16,81,1,0,0,1293,0,26,5156
74,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12014,17,4,61,6,0,1,683,0,34,3723
75,2014,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602014,28,16,99,3,1,0,921,0,52,6232
76,2014,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802014,38,20,98,0,0,0,1183,0,46,6401
77,2014,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2014,16,10,82,3,2,1,587,0,46,5021
78,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242014,21,5,72,1,0,0,1111,0,27,4483
79,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82014,16,14,68,6,1,1,614,0,25,3824
80,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2014,15,10,75,1,0,1,544,0,53,4803
