Key,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
adadafa1-dc37-486d-8538-7db1e1b5f71e 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,11.0,0,0,0,11,0,1,0,2,0,11,10,16
b24625a0-d402-4d59-a778-aa4b073bfe5e 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,9.571,0,0,0,22,22,7,1,9,1,67,11,4
b4ce3e07-7848-4da2-a33e-4f04ce540ba5 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,7.154,1,1,1,16,0,13,0,16,0,93,77,32
c257b2e6-dfc9-45c8-b30c-a497f2ce82a2 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,14.636,0,0,0,32,26,22,2,32,2,322,120,28
c323cdb9-74bc-4d68-9358-609f80eedbb7 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,15.925999999999998,0,1,0,46,26,27,2,51,1,430,81,12
c5f35a06-791b-43e1-befc-df0c54b3b486 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,28.0,0,1,1,28,0,1,0,5,0,28,3,3
06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,8.812999999999999,6,8,6,49,9,112,11,161,9,987,498,175
3d94860c-82db-43fd-aa99-3b72390111a4 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,3.0,0,0,0,3,0,1,0,1,0,3,0,0
4734f8dc-2ca4-4437-88f2-c8b8974abefc 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,14.603,0,3,2,61,61,58,1,105,6,847,159,35
5de11f0b-8da9-42ba-9a93-db7f0a58543b 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,15.615,2,2,2,65,65,13,0,22,2,203,144,79
90908a56-901b-466d-8689-943075da96fe 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,7.75,4,2,2,24,10,20,1,28,1,155,153,42
931dbb14-36ac-4044-a61e-5f11854f0383 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,9.857000000000001,0,2,1,21,0,7,0,14,0,69,11,4
a0b93053-d349-4dd1-a840-24577102699b 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,7.468999999999999,4,4,4,47,8,32,2,48,1,239,214,44
bb78a66a-a8ec-4294-8858-c7e5a1d15106 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,4.7860000000000005,2,3,2,15,0,14,0,20,0,67,67,16
e9ee9209-dd8f-4e4a-be3c-407756a2749c 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,11.754000000000001,0,2,2,36,3,57,6,96,1,670,207,52
f0805b80-e01c-46fd-99a6-dae1134fb764 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,10.0,0,0,0,11,0,2,0,9,0,20,18,11
13ade86a-20c7-48fe-9d18-b3bfc135f5e9 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,10.412,2,2,2,38,2,17,1,26,1,177,142,28
2d52ede5-1c65-4f18-a8ac-9306192ef625 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,9.0,0,1,1,19,0,2,0,5,0,18,4,1
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,7.391,5,2,2,31,0,23,1,33,0,170,143,61
58ea6518-6fb7-4e5a-a586-7202d4c5f07e 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,3.0,0,0,0,3,0,1,0,1,0,3,1,0
5e3b63cd-db76-48a8-82dd-7ccc8222f6ae 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,13.667,0,1,1,35,0,6,1,11,0,82,42,7
6335a39b-9cb4-4703-bed9-1835b9fc4791 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,10.444,0,1,1,24,0,9,1,17,0,94,22,10
769d7178-df4e-4127-8166-8116165921e8 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,9.863999999999999,0,0,0,31,31,22,1,27,1,217,57,5
7e5b8212-df93-4069-b3f0-be4b5cb47389 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,12.462,4,4,4,51,34,65,3,102,5,810,295,140
b3d7169b-9cf6-4fea-815a-26e4fb0ec16a 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,15.125,0,1,1,34,20,8,0,11,1,121,68,20
b4ce3e07-7848-4da2-a33e-4f04ce540ba5 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,8.667,0,0,0,13,0,3,0,3,0,26,9,4
e78261de-af00-4530-824c-500addbe9f98 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,7.14,2,4,3,28,10,50,5,74,3,357,124,51
e81fb788-1478-4936-ae12-f6ed7ec23476 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,14.937000000000001,1,7,7,69,69,63,3,114,7,941,273,50
2142a164-48ad-47d6-bb27-0bc58c6b2e62 2017 97354895-8c77-4fd4-a860-32e62ea7382a,15.71,4,4,4,53,53,69,9,105,8,1084,345,187
39f70428-a78a-494c-8676-438d953c289e 2017 97354895-8c77-4fd4-a860-32e62ea7382a,7.6610000000000005,3,3,3,27,6,56,4,72,3,429,336,80
8fc65820-f565-44e2-8635-3e1cdf165bf6 2017 97354895-8c77-4fd4-a860-32e62ea7382a,12.912,0,3,3,47,47,34,5,59,5,439,171,25
973bfe3c-6d0d-4130-a79c-f860650b1da6 2017 97354895-8c77-4fd4-a860-32e62ea7382a,10.802999999999999,1,4,3,27,5,61,1,86,2,659,210,44
9d04accc-a404-406f-b93c-0878410e55a6 2017 97354895-8c77-4fd4-a860-32e62ea7382a,6.332999999999999,0,1,1,10,0,6,0,10,0,38,26,14
ad2a1d03-020b-487a-bd5f-7ca9fbc250fe 2017 97354895-8c77-4fd4-a860-32e62ea7382a,10.5,0,2,1,19,0,4,1,11,0,42,5,4
b25ba2bd-80bd-4295-9034-cf9242fb207b 2017 97354895-8c77-4fd4-a860-32e62ea7382a,6.688,0,0,0,20,15,32,3,35,3,214,224,50
b6b954eb-4591-4b7a-86b9-a481f15fdd58 2017 97354895-8c77-4fd4-a860-32e62ea7382a,16.646,2,11,9,64,64,65,4,114,7,1082,227,54
bd8052bd-0898-430b-99c9-2529e895ae79 2017 97354895-8c77-4fd4-a860-32e62ea7382a,8.467,1,2,2,23,19,30,6,36,3,254,184,39
c682e8ea-fe48-45d2-af60-682a6125ab22 2017 97354895-8c77-4fd4-a860-32e62ea7382a,16.167,0,0,0,39,0,12,1,18,0,194,91,11
cc745cc3-d52a-454b-98c8-ac9155a9405c 2017 97354895-8c77-4fd4-a860-32e62ea7382a,8.6,0,3,3,22,11,10,2,22,1,86,64,11
d08da2a3-8296-4038-bb46-ab1feca4bbd4 2017 97354895-8c77-4fd4-a860-32e62ea7382a,15.0,0,0,0,15,0,1,0,1,0,15,20,4
dba5e3ec-2c77-4f65-ad6e-cee246f816ef 2017 97354895-8c77-4fd4-a860-32e62ea7382a,7.0,1,1,1,7,0,1,0,4,0,7,13,4
14ecf9dd-3a77-4847-8e62-407cd1182f1c 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,11.5,0,1,1,22,0,4,1,5,0,46,11,0
19858900-5c8e-49a7-ab02-34ef625724ca 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.2,1,1,1,21,1,10,2,15,1,92,50,20
24cf6148-f0af-4103-a215-e06956764953 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.047,2,5,5,61,61,43,3,60,2,389,436,77
26873576-2bbd-4622-bc3e-ec847577855b 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,18.0,0,0,0,34,0,2,0,2,0,36,32,25
36f54823-9d51-4180-9c91-d10281deb4bf 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.619,2,3,3,59,16,42,8,62,7,404,193,84
5707d2b0-ea9e-4a5e-8289-9d52197301d9 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,10.538,1,5,4,45,37,52,3,89,3,548,239,58
59fc3367-5514-4616-a93c-06e4365b2293 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,4.0,1,0,0,10,0,4,0,4,0,16,30,9
6bb4d6f8-c8fb-4ca7-a416-a7010526114d 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,15.0,1,0,0,37,29,12,0,16,1,180,39,10
76a5edec-5ff7-49fa-a8ec-5768a372279d 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,10.227,0,3,3,49,49,22,1,32,2,225,91,19
7797f36e-87e8-4282-b6d2-bdb1774fc3b3 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.567,1,2,2,67,0,30,0,34,0,287,313,102
938b363a-6967-4cef-bcd2-bb358a9f6c98 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0.0,0,0,0,0,0,0,0,2,0,0,0,0
c5a8b02c-d380-4f22-a690-b335001de8b7 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,10.5,0,0,0,25,25,6,0,17,1,63,19,4
c9701373-23f6-4058-9189-8d9c085f3c49 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,14.373,3,7,7,77,77,75,9,143,8,1078,297,127
fa26e15f-2375-4acc-aaae-cf32cfe4bc3e 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,11.0,0,0,0,16,0,2,0,2,0,22,8,2
fa6b16fe-d3cd-4296-a0e6-03ad13d27a57 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0.0,0,0,0,0,0,0,0,4,0,0,0,0
31c376b7-2e10-473a-aa54-d9f709a5b93e 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,9.365,14,4,4,41,41,74,3,93,3,693,634,191
40cd928f-f228-4ffd-8179-b27a12e14a44 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,6.5,1,5,4,38,0,28,2,42,0,182,210,69
52d09eea-a580-447a-8062-5841d5a9c8b3 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,11.667,0,0,0,38,0,6,0,11,0,70,16,8
6efb8027-b537-4dd1-883f-459450708ad4 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,13.261,0,4,4,44,3,23,3,58,2,305,58,3
7e34053d-00bf-4f3f-a464-329c8f5057d0 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,11.556,2,3,3,56,56,27,1,50,2,312,142,41
8f86fcea-90e8-49ea-bc78-5c7659313e57 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,12.062999999999999,0,3,3,34,28,32,4,60,4,386,151,63
a2451bf7-83dd-496c-b527-c14d8d518598 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,11.97,0,4,3,49,3,33,2,58,1,395,171,44
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,18.611,0,1,1,54,18,18,1,42,1,335,123,51
c9a7ce89-90f7-4061-b9ac-dfd4e6c3cedf 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,6.332999999999999,0,1,1,11,0,3,0,5,0,19,25,7
cee77408-f330-4a16-bb6f-dead52f9291f 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,7.25,0,0,0,15,0,4,0,5,0,29,22,1
0b504d67-639b-4ba8-979a-498a3086257b 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,13.777999999999999,1,3,3,30,30,18,2,38,3,248,41,13
0dc98d11-34e4-46f6-96a6-7707c6f29500 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,7.7,0,4,4,14,0,10,2,35,0,77,5,3
52f4a43a-64a9-4d69-a9e2-28bd60f68e49 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,5.733,0,0,0,17,4,15,1,18,1,86,100,32
9173225c-4e88-4c87-ad78-41aa0d00a1be 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,5.435,2,4,4,20,9,46,3,60,2,250,218,70
9480dd9f-151f-4e6d-b5a3-35f07bda4cac 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,7.25,2,0,0,16,0,28,4,37,0,203,153,39
990a689e-200b-4cda-85db-85d6c3af911c 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,8.13,4,3,3,37,0,23,0,36,0,187,190,87
b37b5be9-4771-4368-988f-fb936f4fc0ad 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,14.385,0,3,3,66,21,52,5,92,4,748,157,58
d81844de-54c3-42ee-9850-072dc4131b6f 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,8.557,0,4,4,33,33,61,5,79,4,522,263,74
16e33176-b73e-49b7-b0aa-c405b47a706e 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,15.177999999999999,2,2,2,57,51,101,9,163,9,1533,481,150
28a084c0-14df-499f-bd1f-b975603626b7 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0.0,0,0,0,0,0,0,0,1,0,0,0,0
8f24a248-b328-43ec-8677-67600e42a8f7 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,13.429,2,4,4,28,7,14,0,24,1,188,88,32
9547fbb1-0d4f-4d9e-83b9-e2fa30463bb9 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,15.81,5,4,4,97,97,58,6,79,7,917,430,121
a37a5bfd-b48c-4d8b-817a-d8ce7ca3592d 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,8.651,0,2,2,32,4,43,7,63,3,372,187,40
bb818cdc-cc6e-4e57-90bd-5a9d5f23f48e 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,8.277999999999999,0,3,2,18,18,18,4,36,1,149,78,26
c456e060-d4d8-46cb-acf4-296edfb4f7bd 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,23.5,0,0,0,44,0,2,1,3,0,47,21,1
c9557ff2-899f-41e3-8a0e-35ca874db9b2 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,6.4,0,0,0,12,1,5,0,9,1,32,16,4
e9d4ab78-3572-47ab-b4d3-e04c5af231f3 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,12.06,2,3,3,51,27,50,2,84,3,603,170,41
f611f87a-1e49-4196-9088-8c760f26006d 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,3.0,0,0,0,5,1,2,1,3,1,6,3,2
f636d7ce-05f9-43d7-b63f-351acb5c2a70 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,5.75,0,0,0,7,5,4,2,10,1,23,14,0
3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,8.867,3,6,4,21,0,15,2,44,0,133,47,17
413f7971-4d5b-496d-a11b-f623e9bc3b7c 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,10.714,2,5,5,34,24,21,1,33,1,225,283,95
63fd9abe-4bdf-4611-9497-0c67e030ce01 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,6.222,0,1,1,16,0,9,0,11,0,56,69,34
6a2b129d-a9e5-4131-b491-82269b323f77 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,8.448,2,4,3,26,14,29,1,38,1,245,275,89
7574eb56-a34a-419e-9682-c4788cfe2019 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,8.667,0,2,1,13,0,3,1,13,0,26,16,7
75dfd9cc-5419-49e1-bade-0632d03ca4b4 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,16.5,0,0,0,20,0,2,0,5,0,33,18,5
958c9833-2e55-411a-8e0e-ecc229bbeb14 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,12.347999999999999,0,3,3,61,61,23,0,37,1,284,104,43
b8426cea-f8b9-4061-8d56-e70d1230103e 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,16.947,1,5,4,80,80,57,3,109,4,966,304,35
bd413539-9351-454e-9d61-4e8635d7e9f5 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,8.625,5,4,4,26,13,80,3,108,4,690,337,124
f404283a-7c04-4a1c-899c-3243424a8d70 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,15.038,1,5,4,60,60,26,3,47,2,391,79,41
046c51bc-319e-4fbb-9cf3-f6ab808b8edf 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,12.556,4,3,3,29,18,27,2,51,1,339,99,43
0fd32417-8410-4a8f-8919-386c433bca43 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,17.0,0,0,0,17,0,1,0,1,0,17,2,0
10952a8e-9da1-447b-a016-c699db00c5f0 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,12.41,1,1,1,50,7,39,4,56,2,484,175,61
4c3c6b63-aa1f-4452-9d1d-662073f06142 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,12.536,3,10,10,45,6,56,4,96,3,702,289,96
666e3121-3daa-4413-b1ec-8e728f7cc645 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,7.6,0,0,0,21,0,5,0,7,0,38,14,7
72f5a27a-544f-468a-b10b-89a1fc5d0e9f 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,8.333,4,2,2,29,22,21,1,28,1,175,185,70
7f46a7be-286e-4bfe-8778-d03dbe600ce9 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,8.389,2,2,1,28,10,36,1,48,1,302,303,62
97c96dce-9b33-4d0e-ba01-5eb629192d19 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,7.167000000000001,0,3,3,14,1,6,1,11,1,43,28,12
9c21e9af-681c-41ef-9b00-fbc9e1668ed1 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,13.25,2,3,3,37,30,24,5,48,5,318,163,60
a02175de-7356-40c9-a14f-f90de29830d7 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,4.0,0,0,0,4,0,1,0,1,0,4,5,5
a0498a95-9dc3-4df5-8f51-a1564fb3de57 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,12.833,0,1,1,41,14,6,2,11,2,77,39,11
a8c96abf-a911-47a0-ac16-dd51a8782b5e 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,17.81,2,3,2,75,75,42,3,83,3,748,299,121
af944a80-eba7-479d-b3b1-73279abdc67a 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,13.667,0,1,1,28,0,3,0,4,0,41,35,3
d28afbc1-16c0-4012-b24a-1bd99817e8a9 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,7.4670000000000005,1,3,3,20,0,30,0,41,0,224,188,51
e5c6b0d4-3e77-422b-a6d8-574a10ed385e 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,10.642999999999999,1,1,1,29,11,14,2,24,1,149,91,18
02779042-2b4e-4fa9-b598-364fe01b523a 2017 82d2d380-3834-4938-835f-aec541e5ece7,13.833,0,1,1,34,0,6,0,8,0,83,66,10
095e0c1a-0bea-4bc6-868f-e4bbe2ce6c30 2017 82d2d380-3834-4938-835f-aec541e5ece7,15.107000000000001,0,4,3,59,59,28,4,50,7,423,99,11
442eb96a-deb6-4e73-b65a-a2bb25ffa968 2017 82d2d380-3834-4938-835f-aec541e5ece7,4.75,1,0,0,7,0,8,1,11,0,38,10,3
5c48ade7-4b9a-4757-9643-87a6e3839e2b 2017 82d2d380-3834-4938-835f-aec541e5ece7,14.354000000000001,0,5,4,72,72,96,15,174,13,1378,359,61
5cb0bf9c-03b4-4201-97c5-a59c6db50841 2017 82d2d380-3834-4938-835f-aec541e5ece7,13.68,0,6,5,42,4,25,5,52,1,342,132,23
617435c6-4a3f-4689-ab15-44bd93b33615 2017 82d2d380-3834-4938-835f-aec541e5ece7,11.379000000000001,1,4,4,35,29,29,2,57,2,330,136,22
a212c5d8-67f8-48b9-99be-2c121ee56366 2017 82d2d380-3834-4938-835f-aec541e5ece7,9.083,1,0,0,32,8,36,3,45,3,327,295,70
cb1df42c-b59c-4e23-a9a2-fbfc2b39ef71 2017 82d2d380-3834-4938-835f-aec541e5ece7,12.154000000000002,0,1,1,35,12,13,1,26,1,158,77,11
cbf1cdba-d165-45f7-a695-5e0971dd9042 2017 82d2d380-3834-4938-835f-aec541e5ece7,7.7139999999999995,1,0,0,14,0,7,2,9,0,54,42,25
0f062def-77f5-4362-86cb-4bdb63a59eba 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,0.0,0,0,0,0,0,0,0,1,0,0,0,0
29972cbe-2912-49df-916b-200eead9a218 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,14.437999999999999,0,1,0,53,53,16,0,28,1,231,59,8
481da4a3-fb29-4480-9db4-9cffdf33f510 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,0.0,0,0,0,0,0,0,0,1,0,0,0,0
5b712aed-201c-43dd-b978-b7b6ef91178e 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,12.0,0,0,0,12,0,1,0,2,0,12,8,4
87c481c7-7414-43cc-82df-19ca0c2ae22e 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,12.364,0,2,2,66,66,11,0,17,1,136,125,17
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,15.0,4,3,3,75,75,53,3,87,4,795,277,115
ccce5e8e-52ca-4f0f-a40f-fe5e7227d156 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,10.905,1,3,3,42,24,74,3,111,3,807,245,78
e21e9081-44aa-464b-8d3e-83918d48b921 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,11.029000000000002,3,1,1,37,0,34,2,65,0,375,101,48
e4f25a37-74de-4bfb-b6c9-f50a4fab0b87 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,8.722000000000001,1,1,1,32,32,18,2,30,2,157,96,24
132721b4-fd32-4795-b214-ab4baaaceb3a 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,12.069,3,5,5,29,22,29,4,56,3,350,107,33
1fe3aadd-336b-4838-888e-8c9609747afc 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,15.777999999999999,2,1,1,54,54,9,1,18,2,142,63,36
294b247f-c8b9-4fe7-9fce-bb4011fff02f 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,18.0,1,0,0,29,29,2,0,2,1,36,35,30
2c35ed5f-7317-4776-8ee7-0438e0286508 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,8.75,0,0,0,16,0,4,0,6,0,35,24,5
6130be96-edf3-4361-b666-860c4ec46e7d 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,7.25,0,0,0,14,0,4,1,13,0,29,10,4
6e444737-a1e1-4ddd-b963-cd6a9496fde0 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,11.434000000000001,3,8,7,40,20,83,8,140,5,949,299,94
6ef43c53-53d7-4b0f-ad99-17664d663ae8 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,13.642999999999999,0,5,4,44,2,14,2,22,1,191,92,25
77c7d2cf-2cbf-4901-8a42-863720980754 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
aca06a5e-0e3a-4285-a025-199f8fa0376f 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,5.609,0,1,1,20,0,23,1,28,0,129,159,35
cd705357-f282-4cbf-8f11-391618d981c3 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,9.167,1,3,3,29,0,30,1,38,0,275,231,61
f0805b80-e01c-46fd-99a6-dae1134fb764 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,11.789000000000001,1,2,2,29,22,19,0,31,2,224,74,21
f7841baa-9284-4c03-b698-442570651c6c 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,8.0,3,2,2,25,16,28,3,40,1,224,215,67
fbb1cc32-4cbd-4089-b8ec-1e7bce8da408 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,15.105,0,2,1,32,25,19,1,31,2,287,64,29
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,11.809000000000001,0,7,5,38,10,47,4,92,2,555,167,83
0f8ccece-d663-4069-944b-f318f64c60b7 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,8.207,10,3,3,49,11,58,5,83,4,476,495,114
12f27311-7cd6-4ca5-ba7d-571e9de5e1eb 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,8.636000000000001,0,2,2,20,0,11,1,23,0,95,11,9
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,16.676,2,5,5,62,62,34,0,65,4,567,210,49
5f424505-f29f-433c-b3f2-1a143a04a010 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,13.657,7,9,8,51,42,102,11,159,6,1393,501,161
61194d09-1caf-4bd6-9ff2-a6b1601a1839 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,4.5,0,0,0,7,0,2,0,4,0,9,3,0
7a3d664b-e4d7-48e8-899d-5f7db6ecc4e4 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,17.5,0,0,0,23,0,2,0,3,0,35,30,15
82da09c2-e542-4f7d-87d9-24dfd8e014de 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,10.533,0,1,1,27,10,30,5,52,3,316,66,22
a6fe5f18-d78d-4a56-aea2-ef4bed7e647a 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,16.93,1,4,4,75,75,43,0,69,4,728,320,71
e5b8c439-a48a-4f83-b63b-1a4d30e04cd3 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,10.333,2,2,2,38,28,27,3,35,3,279,246,108
01d8aee3-e1c4-4988-970a-8c0c2d08bd83 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,15.773,7,4,4,79,79,75,2,105,7,1183,451,81
0ef0d0ca-2d2d-455b-ab63-a20c01303e37 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,8.585,11,4,3,78,78,53,4,63,3,455,411,152
2958ea86-e2dc-4719-93e5-cc9d093ca963 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,13.19,4,5,5,63,63,42,5,62,3,554,318,83
35823109-daf1-4825-92b8-564271398ecb 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,10.214,0,0,0,57,57,14,1,16,2,143,73,35
3d655ae8-d510-47d4-b5ab-936cd6a492f1 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,9.0,0,1,1,10,0,2,0,4,0,18,15,0
46b16198-116f-4913-85db-2bc21462bd66 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,10.095,0,2,2,33,0,21,0,39,0,212,47,3
65f91b8b-6794-4273-bf42-4d00b5973ddd 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,5.556,0,0,0,25,8,27,4,34,2,150,128,5
