Key,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards
f7841baa-9284-4c03-b698-442570651c6c 2013 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,0,0,0,0,0,0,0,0,1,0,0
2fda010a-8c62-4c07-b601-4ba03f57e6af 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0,0,7,3,0,0,0,1,1,0,-13
aca06a5e-0e3a-4285-a025-199f8fa0376f 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0,0,4,2,0,0,0,1,1,0,0
e033ce15-9fc5-430b-90e2-90dfe52b21c1 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0,0,1,1,0,0,0,0,0,0,0
26b9c11d-c557-4bef-b990-65498858df47 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,0,0,0,0,1,0,0
996974b8-2e0a-47d9-90a7-c3455192d06b 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,1,0,22,0,0,0,0
adadafa1-dc37-486d-8538-7db1e1b5f71e 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,0,1,2,1,0,0,0,0,0,0,0
af48c3f0-040b-40f9-95ab-6ebcb4c16cf8 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,7,2,0,0,0,0,4,0,-9
d2cad5f8-b35f-4cf4-9567-57c387ba6225 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,1,1,0,0,0,0,0,0,0
3c2db5b7-77bf-4c52-bb77-b0fe3cf89e5e 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,0,2,2,0,0,0,0,0,0,0
433587a5-dabc-4b1b-9545-66e570f806a7 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,0,0,0,0,0,0,0,1,0,0
5ed2cea8-e0c6-482c-9ee1-548c06612226 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,0,2,1,1,0,0,0,1,0,0
7092bb09-a161-4ab9-8d19-fdcf1a91bb3d 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,0,1,0,0,0,0,0,0,0,0
166292fc-629e-4c7b-b7bf-f572ca9eeb43 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,1,1,0,0,0,0,0,0,0
3e618eb6-41f2-4f20-ad70-2460f9366f43 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,1,0,0,0,0,1,0,0,0
c8232b55-6617-4dd9-a7cf-cf14cd9a29ab 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,4,2,0,0,0,1,1,0,-10
da7cb0cc-543e-47d5-b29a-2ba2b341bd14 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,3,1,0,0,0,0,2,0,0
6cb6226e-f08c-4192-95f1-69709ed686c6 2013 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,0,0,7,2,0,0,0,0,1,0,-6
38f5843a-8318-4eb7-b517-c83d415e77a4 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,0,0,0,0,1,0,0
518c96c5-65bb-4559-8074-9cdb2ca32f99 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,2,2,0,0,0,0,2,0,0
8dfb370d-460c-4bfc-9d62-888687248783 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,11,4,0,0,0,0,2,0,-36
a824d9ff-12a4-4ed2-812d-404b0b4e52f9 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,1,1,0,0,0,0,1,0,0
bbd0942c-6f77-4f83-a6d0-66ec6548019e 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,3,2,0,0,0,0,0,0,0
bd10efdf-d8e7-4e23-ab1a-1e42fb65131b 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,5,4,0,0,0,0,1,0,0
c87f0526-a85d-439d-a447-070c66ede612 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,1,0,0,0,0,0,1,0,0
5c529c33-8a1d-413a-b635-880ac86f30c1 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,0,0,3,1,0,0,0,0,2,0,0
a261fd0a-b096-4db7-bd51-2f13bde485da 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,0,0,3,1,0,0,0,0,2,0,0
ade43b1a-0601-4672-83b6-d246bc066a19 2013 c5a59daa-53a7-4de0-851f-fb12be893e9e,0,0,12,4,0,0,0,0,5,0,-35
0ce48193-e2fa-466e-a986-33f751add206 2013 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,4,0,0,0,0,0,1,0,-6
3283f152-d373-43b3-b88f-f6f261c48e81 2013 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,1,0,0,0,0,0,0,0,0,0
6a11f09e-268c-4e5a-9b0f-cc0f4bc353c3 2013 33405046-04ee-4058-a950-d606f8c30852,0,0,0,0,0,0,0,0,1,0,0
8263e101-aa33-435f-bf0f-388e1c4eeb59 2013 33405046-04ee-4058-a950-d606f8c30852,0,0,3,1,0,0,0,0,1,0,-3
ab58c0ac-a747-47e6-9b3c-505e41d2bd3d 2013 33405046-04ee-4058-a950-d606f8c30852,0,0,5,3,0,0,0,1,1,0,0
