Key,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rec Attempts,Converse Rec Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
2fda010a-8c62-4c07-b601-4ba03f57e6af 2014 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0,0,2,0,0,0,0,0,0
8dfb370d-460c-4bfc-9d62-888687248783 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,0,0,1,0,0
ade43b1a-0601-4672-83b6-d246bc066a19 2014 c5a59daa-53a7-4de0-851f-fb12be893e9e,0,0,2,1,0,0,0,0,0
c88d9352-b835-45ed-a909-1cfec09a58bc 2014 c5a59daa-53a7-4de0-851f-fb12be893e9e,0,0,0,0,1,0,0,0,0
0ce48193-e2fa-466e-a986-33f751add206 2014 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,2,1,0,0,0,0,0
3283f152-d373-43b3-b88f-f6f261c48e81 2014 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,0,0,1,1,0,0,0
cccc9f16-9508-434f-b7a4-9a29cb0cacf9 2014 33405046-04ee-4058-a950-d606f8c30852,0,0,0,0,1,1,0,0,0
d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7 2014 33405046-04ee-4058-a950-d606f8c30852,0,0,2,2,0,0,0,0,0
7e648a0b-fdc8-4661-a587-5826f2cac11b 2014 e6aa13a4-0055-48a9-bc41-be28dc106929,0,0,1,1,0,0,0,0,0
91a95850-9514-49d5-b2b0-f8e21156daa0 2014 e6aa13a4-0055-48a9-bc41-be28dc106929,0,0,0,0,0,0,1,0,0
214e55e4-a089-412d-9598-a16495df0d25 2014 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,0,1,1,0,0,0,0,0
2ef5aed5-9859-4102-8bf4-99d6a6ae22ba 2014 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,0,0,0,1,0,0,0,0
72fbe462-91c5-4c84-9640-e8ad7cad6447 2014 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,0,1,0,0,0,0,0,0
bb5957e6-ce7d-47ab-8036-22191ffc1c44 2014 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,1,0,0,0,0,0,0
d81844de-54c3-42ee-9850-072dc4131b6f 2014 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,1,0,0,0,0
22fb2b54-4936-4e8a-a48d-62096c0c9bb1 2014 de760528-1dc0-416a-a978-b510d20692ff,0,0,1,1,0,0,0,0,0
b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5 2014 de760528-1dc0-416a-a978-b510d20692ff,0,0,0,0,1,0,0,0,0
