Key,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
0ce48193-e2fa-466e-a986-33f751add206 2013 a20471b4-a8d9-40c7-95ad-90cc30e46932,8.745,78,66.55199999999999,193,0,14,2536,0,6,0,83,83,2419,0.0,104.9,46,117,21,0,22,17,2536
8263e101-aa33-435f-bf0f-388e1c4eeb59 2013 33405046-04ee-4058-a950-d606f8c30852,7.114,94,60.236000000000004,153,0,13,1807,0,9,0,79,79,1722,0.0,81.6,32,85,16,0,7,11,1807
e1235f1e-26ce-438c-8168-3b1ded4ab893 2013 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,6.269,152,59.375,247,0,21,2608,0,9,0,85,85,2294,0.0,83.9,47,314,40,0,19,19,2608
7e648a0b-fdc8-4661-a587-5826f2cac11b 2013 e6aa13a4-0055-48a9-bc41-be28dc106929,6.935,200,67.435,439,0,40,4515,0,17,0,81,81,4217,0.0,89.6,93,298,44,0,19,26,4515
214e55e4-a089-412d-9598-a16495df0d25 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,7.144,197,61.733999999999995,292,0,23,3379,0,13,0,79,79,3043,0.0,88.8,54,336,43,0,20,24,3379
bb5957e6-ce7d-47ab-8036-22191ffc1c44 2013 0d855753-ea21-4953-89f9-0e20aff9eb73,7.942,172,68.615,446,0,25,5162,0,12,0,76,76,4918,0.0,104.7,85,244,37,0,26,39,5162
3699dfd9-d437-43f7-b674-adbb31e7e64b 2013 f0e724b0-4cbf-495a-be47-013907608da9,13.0,0,100.0,1,0,0,13,0,0,0,13,0,13,0.0,118.8,0,0,0,0,0,0,13
b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5 2013 de760528-1dc0-416a-a978-b510d20692ff,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,1,0,0
409d4cac-ee90-4470-9710-ebe671678339 2013 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,8.248,184,63.145,257,0,13,3357,0,9,0,80,80,3085,0.0,101.2,53,272,44,0,21,26,3357
5812204c-6dae-4450-8011-99e0f72864ac 2014 4809ecb0-abd3-451d-9c4a-92a90b83ca06,6.856,185,66.441,392,0,29,4045,0,12,0,50,32,3708,0.0,92.8,89,337,46,0,15,27,4045
b37b5be9-4771-4368-988f-fb936f4fc0ad 2014 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,0,0,0
769d7178-df4e-4127-8166-8116165921e8 2014 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,1,0,0,0,0,0,0
cfc93f5e-105e-4a5e-88d3-f4279893cfa8 2014 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,6.88,128,59.673,219,0,18,2525,0,13,0,74,74,2350,0.0,77.5,48,175,28,0,24,13,2525
41c44740-d0f6-44ab-8347-3b5d515e5ecf 2014 97354895-8c77-4fd4-a860-32e62ea7382a,7.06,140,64.089,373,0,32,4109,0,9,0,69,69,3975,0.0,97.4,74,134,21,0,21,33,4109
42de9d1d-0352-460b-9172-9452414fd7fd 2014 97354895-8c77-4fd4-a860-32e62ea7382a,6.7410000000000005,6,70.37,19,0,0,182,0,0,0,37,13,146,0.0,101.2,1,36,5,0,2,1,182
1726a359-9444-4761-a1f2-cb35ee6fa60e 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,26.333000000000002,0,100.0,3,0,0,79,0,0,0,50,18,73,0.0,158.3,1,6,1,0,0,1,79
d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,7.064,148,64.241,309,0,22,3398,0,17,0,81,81,3274,0.0,83.5,51,124,21,0,20,19,3398
af4ba620-2f00-4b00-9111-7897f2b1cde8 2014 d5a2eb42-8065-4174-ab79-0a6fa820e35e,7.593999999999999,152,55.251000000000005,242,0,20,3326,0,13,0,81,81,3166,0.0,76.5,40,160,24,0,14,12,3326
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2014 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,1,0,0
64797df2-efd3-4b27-86ee-1d48f7edb09f 2014 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,7.195,214,62.093999999999994,344,0,37,3986,0,12,0,80,80,3819,0.0,91.0,70,167,19,0,21,27,3986
16e33176-b73e-49b7-b0aa-c405b47a706e 2014 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,10.0,0,100.0,2,0,0,20,0,0,0,17,3,20,0.0,147.9,1,0,0,0,0,1,20
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2014 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,8.145,153,67.105,408,0,29,4952,0,9,0,94,94,4780,0.0,103.3,91,172,33,0,5,32,4952
e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2014 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,7.729,207,61.688,380,0,38,4761,0,16,0,80,79,4600,0.0,96.5,82,161,27,0,22,40,4761
6723249c-5fb5-4b0a-9373-cb59cdc99ec8 2014 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,6.122000000000001,168,58.946999999999996,280,0,31,2908,0,17,0,63,63,2563,0.0,69.5,38,345,55,0,9,11,2908
f55053e4-4bfd-495d-981a-d62e3662f01b 2014 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,6.308,40,53.846000000000004,42,0,5,492,0,1,0,63,63,387,0.0,80.7,4,105,16,0,1,3,492
0742d2ea-1cf2-49a6-a150-77ba6e034d8c 2014 82d2d380-3834-4938-835f-aec541e5ece7,7.957999999999999,107,63.141000000000005,197,0,16,2483,0,8,0,76,76,2400,0.0,95.3,38,83,21,0,4,17,2483
1b3d350a-478b-4542-a430-d12cc96adc22 2014 82d2d380-3834-4938-835f-aec541e5ece7,5.649,21,58.442,45,0,5,435,0,2,0,35,10,420,0.0,72.2,19,15,3,0,2,2,435
