Key,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
046c51bc-319e-4fbb-9cf3-f6ab808b8edf 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,19.0,0,19,0,1,0,19
4c3c6b63-aa1f-4452-9d1d-662073f06142 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,2.6,6,7,0,5,0,13
a02175de-7356-40c9-a14f-f90de29830d7 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0.0,4,0,0,1,0,0
a0498a95-9dc3-4df5-8f51-a1564fb3de57 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,10.63,19,72,63,27,1,287
a8c96abf-a911-47a0-ac16-dd51a8782b5e 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0.0,1,0,0,0,0,0
af944a80-eba7-479d-b3b1-73279abdc67a 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0.0,0,6,0,0,0,6
095e0c1a-0bea-4bc6-868f-e4bbe2ce6c30 2017 82d2d380-3834-4938-835f-aec541e5ece7,15.0,6,49,0,9,0,135
442eb96a-deb6-4e73-b65a-a2bb25ffa968 2017 82d2d380-3834-4938-835f-aec541e5ece7,7.5,4,21,0,8,0,60
617435c6-4a3f-4689-ab15-44bd93b33615 2017 82d2d380-3834-4938-835f-aec541e5ece7,9.4,4,21,0,5,0,47
132721b4-fd32-4795-b214-ab4baaaceb3a 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,6.0,0,6,0,1,0,6
6130be96-edf3-4361-b666-860c4ec46e7d 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,8.714,7,44,0,21,0,183
77c7d2cf-2cbf-4901-8a42-863720980754 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,11.0,1,16,0,5,0,55
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,-1.0,0,3,0,2,0,-2
