Key,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,305,0,940,333,519,13,10,135,10,33,0,0,3,17,126,58,59,231.0,32.0,0,18,0,0,2,50,635,60.0,256.0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,281,0,896,373,574,11,9,198,20,71,0,0,4,15,108,67,105,409.0,60.0,0,12,1,0,2,49,615,92.0,480.0
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,280,0,843,303,498,10,7,161,12,53,0,1,3,12,76,68,95,336.0,49.0,0,10,0,2,0,54,563,78.0,370.0
f0e724b0-4cbf-495a-be47-013907608da9 2013,170,0,851,336,560,11,9,199,18,49,0,0,2,14,88,82,81,283.0,38.0,1,19,2,1,7,87,681,73.0,308.0
de760528-1dc0-416a-a978-b510d20692ff 2013,109,0,795,367,610,11,8,194,20,86,2,0,5,23,90,102,115,337.0,47.0,2,17,2,0,7,77,686,93.0,426.0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,324,0,900,303,494,14,9,199,28,72,2,1,10,12,74,91,99,297.0,44.0,2,27,1,2,4,53,576,70.0,332.0
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,281,0,966,336,542,13,9,163,19,50,0,0,7,13,106,75,99,308.0,54.0,1,23,3,1,4,66,685,96.0,354.0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,193,0,887,333,538,12,11,184,14,51,0,0,10,15,110,54,74,211.0,39.0,3,11,5,1,3,78,694,76.0,294.0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,316,0,932,340,520,7,4,136,6,57,0,1,9,17,98,56,108,310.0,45.0,1,28,0,1,5,68,616,69.0,318.0
97354895-8c77-4fd4-a860-32e62ea7382a 2014,302,0,918,339,571,14,9,163,16,54,2,0,7,10,114,66,82,282.0,40.0,0,20,5,1,2,64,616,71.0,332.0
