Key,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
33405046-04ee-4058-a950-d606f8c30852 2016,74,4.332,39.0,42.635,0,320.58899999999994,34,72,2886,209,3,3155
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,70,4.715,42.67100000000001,45.928999999999995,0,330.05,37,59,2987,128,5,3215
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,48,4.467,41.708,46.729,0,214.39700000000002,21,68,2002,221,1,2243
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,76,4.349,38.645,45.788999999999994,0,330.519,31,76,2937,383,8,3480
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,57,4.474,42.351000000000006,48.263000000000005,0,255.00400000000002,22,66,2414,237,5,2751
f0e724b0-4cbf-495a-be47-013907608da9 2016,100,4.5089999999999995,39.77,44.02,0,450.91100000000006,28,65,3977,345,4,4402
de760528-1dc0-416a-a978-b510d20692ff 2016,80,4.37,37.423,41.91,2,340.84400000000005,25,62,2919,310,2,3269
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,98,4.38,46.0,47.755,0,429.26799999999986,51,78,4508,152,1,4680
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,72,4.248,39.859,44.028,1,301.6020000000001,26,64,2830,236,3,3126
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,79,4.212,40.494,44.67100000000001,0,332.731,28,60,3199,210,6,3529
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,83,4.353,40.663000000000004,44.518,0,361.27100000000013,30,64,3375,220,5,3695
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,94,4.188,40.5,46.574,0,393.69599999999997,33,70,3807,491,4,4378
97354895-8c77-4fd4-a860-32e62ea7382a 2017,58,4.0889999999999995,40.516999999999996,43.361999999999995,0,237.18,24,60,2350,105,3,2515
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,89,4.147,41.261,46.602,1,364.93,32,63,3631,410,3,4101
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,82,4.197,40.802,47.247,1,339.9190000000001,24,67,3305,482,2,3827
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,85,4.296,40.81,44.821000000000005,1,360.882,40,67,3428,277,3,3765
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,64,4.427,39.781,43.172,0,283.338,26,62,2546,177,2,2763
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,85,4.381,43.143,44.81,1,368.01499999999993,28,61,3624,80,3,3764
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,88,4.316,39.391,44.08,1,375.501,29,65,3427,228,9,3835
82d2d380-3834-4938-835f-aec541e5ece7 2017,92,4.296,41.293,48.989,0,395.273,32,68,3799,608,5,4507
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,75,4.268,44.56,49.707,0,320.1350000000001,28,74,3342,286,5,3728
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,76,4.186,41.068000000000005,45.365,2,309.7890000000001,24,60,3039,258,3,3357
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,74,4.079,41.338,48.081,0,301.82099999999997,27,69,3059,319,9,3558
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,65,4.482,41.108000000000004,45.169,0,291.31900000000013,29,77,2672,164,5,2936
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,69,4.462,42.681000000000004,47.391000000000005,0,307.88499999999993,28,65,2945,205,6,3270
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,66,4.619,41.409,44.06100000000001,0,304.845,34,62,2733,75,5,2908
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,68,4.212,41.224,45.269,1,282.22699999999986,21,62,2762,171,5,3033
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,97,4.103,37.484,44.095,2,389.759,19,69,3561,448,9,4189
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,83,4.529,39.024,45.711000000000006,0,375.92100000000005,33,64,3239,435,6,3794
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,87,4.178,39.713,46.977,0,363.469,27,69,3455,512,6,4087
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,73,4.189,39.342,43.699,0,305.817,25,64,2872,198,6,3190
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,71,4.325,41.563,44.437,0,307.10900000000004,19,62,2951,164,2,3155
33405046-04ee-4058-a950-d606f8c30852 2017,71,4.5169999999999995,39.169000000000004,42.169,0,320.698,29,56,2781,213,0,2994
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,66,4.614,40.062,43.95399999999999,1,299.889,24,62,2604,153,5,2857
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,53,4.552,40.755,44.887,0,241.277,19,62,2160,179,2,2379
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,71,4.479,42.437,46.042,0,317.995,25,63,3013,176,4,3269
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,60,4.585,42.217,47.033,0,275.12600000000003,26,68,2533,249,2,2822
f0e724b0-4cbf-495a-be47-013907608da9 2017,75,4.423,41.293,43.4,0,331.7480000000001,31,59,3097,138,1,3255
de760528-1dc0-416a-a978-b510d20692ff 2017,88,4.227,39.693000000000005,47.261,0,371.962,29,63,3493,506,8,4159
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,65,4.33,44.323,47.891999999999996,0,281.452,30,70,2881,152,4,3113
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,92,4.265,38.793,45.011,0,392.42,29,74,3569,452,6,4141
