Key,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,376,3.7769999999999997,0,4,64,64,5,0,47,-127,4,1420,933
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,355,3.563,0,14,48,22,5,0,40,-101,8,1265,743
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,413,4.538,0,6,65,65,6,0,52,-146,10,1874,1031
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,409,4.553,0,13,52,52,15,0,30,-54,18,1862,1050
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,519,5.22,0,10,76,76,12,0,43,-111,22,2709,1407
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,470,4.191,0,19,46,46,5,0,39,-80,11,1970,1035
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,391,4.125,0,4,67,23,4,0,32,-53,17,1613,817
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,433,3.931,0,16,41,27,6,0,27,-52,9,1702,943
33405046-04ee-4058-a950-d606f8c30852 2012,486,5.42,0,16,82,82,15,0,65,-124,16,2634,1593
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,416,4.416,0,9,70,70,11,0,39,-87,13,1837,1138
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,378,3.696,0,13,43,17,6,0,45,-88,12,1397,856
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,462,4.519,0,10,72,72,13,0,55,-118,21,2088,1314
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,370,4.262,0,13,56,56,5,0,37,-84,10,1577,1020
f0e724b0-4cbf-495a-be47-013907608da9 2012,492,5.063,0,16,50,50,14,0,36,-75,17,2491,1155
de760528-1dc0-416a-a978-b510d20692ff 2012,352,3.42,0,4,52,31,3,0,52,-125,10,1204,705
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,536,4.812,0,14,77,77,10,0,43,-117,16,2579,1315
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,546,4.225,0,18,77,54,92,0,53,-116,15,2307,1163
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,349,4.126,0,9,55,10,51,0,37,-65,8,1440,706
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,493,4.377,0,10,69,17,54,0,37,-90,12,2158,1208
97354895-8c77-4fd4-a860-32e62ea7382a 2013,470,4.394,0,20,47,47,86,0,33,-65,19,2065,1014
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,481,3.6489999999999996,0,22,35,35,57,0,39,-87,14,1755,949
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,348,3.9739999999999998,0,6,45,5,52,0,33,-79,4,1383,691
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,423,3.139,0,8,47,5,62,0,42,-89,7,1328,668
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,394,3.51,0,10,43,13,56,0,35,-97,9,1383,781
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,409,4.262,0,17,51,51,50,0,27,-65,15,1743,942
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,378,3.333,0,2,48,6,40,0,48,-101,7,1260,749
82d2d380-3834-4938-835f-aec541e5ece7 2013,414,4.21,0,1,60,20,52,0,36,-74,7,1743,883
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,462,4.1,0,10,39,30,66,0,43,-90,16,1894,975
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,461,4.063,0,27,45,25,71,0,34,-77,16,1873,937
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,442,4.652,0,19,46,31,72,0,28,-56,17,2056,854
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,437,4.577,0,8,93,93,57,0,31,-72,16,2000,1011
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,336,4.476,0,10,45,7,53,0,28,-79,12,1504,841
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,500,5.132000000000001,0,22,65,65,74,0,52,-153,19,2566,1153
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,381,3.4960000000000004,0,10,49,49,44,0,48,-123,11,1332,826
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,453,4.777,0,3,45,45,58,0,45,-89,14,2164,1061
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,404,4.525,0,11,55,53,69,0,44,-106,13,1828,926
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,445,4.027,0,12,39,37,58,0,39,-94,15,1792,937
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,459,4.654,0,14,67,32,86,0,33,-74,17,2136,1105
33405046-04ee-4058-a950-d606f8c30852 2013,423,4.92,0,8,78,78,60,0,43,-119,23,2081,1298
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,420,3.838,0,9,80,80,33,0,45,-100,6,1612,1026
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,321,3.885,0,7,50,50,51,0,36,-68,11,1247,659
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,483,4.195,0,15,56,43,88,0,42,-72,14,2026,1170
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,391,3.767,0,22,38,9,59,0,45,-114,10,1473,754
f0e724b0-4cbf-495a-be47-013907608da9 2013,505,4.3580000000000005,0,17,51,34,92,0,61,-165,18,2201,1088
de760528-1dc0-416a-a978-b510d20692ff 2013,422,3.6489999999999996,0,21,80,80,53,0,39,-86,12,1540,873
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,509,4.2989999999999995,0,18,43,14,83,0,52,-130,14,2188,1183
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,402,3.687,0,11,53,30,57,0,39,-97,7,1482,818
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,399,4.692,0,16,97,97,88,0,45,-118,12,1872,864
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,507,4.497,0,6,71,71,69,0,48,-89,11,2280,1198
97354895-8c77-4fd4-a860-32e62ea7382a 2014,438,3.943,0,21,43,6,86,0,39,-67,13,1727,898
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,492,4.364,0,14,89,89,79,0,39,-85,19,2147,1179
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,477,3.623,0,6,36,26,72,0,63,-164,17,1728,886
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,448,4.507,0,17,52,20,89,0,41,-84,16,2019,922
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,423,4.1419999999999995,0,18,81,38,59,0,37,-100,10,1752,966
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,415,3.884,0,21,49,49,69,0,39,-83,9,1612,862
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,360,4.5360000000000005,0,3,62,62,33,0,32,-64,9,1633,796
82d2d380-3834-4938-835f-aec541e5ece7 2014,551,3.9219999999999997,0,18,51,34,57,0,56,-133,12,2161,1268
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,356,4.065,0,12,52,11,40,0,21,-41,6,1447,864
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,443,4.029,0,25,47,37,63,0,37,-85,15,1785,930
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,420,4.567,0,10,63,63,58,0,36,-104,18,1918,953
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,337,3.68,0,6,90,90,33,0,31,-82,4,1240,582
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,508,4.6339999999999995,0,17,65,65,59,0,48,-110,16,2354,1308
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,474,4.203,0,17,53,49,87,0,52,-115,16,1992,918
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,449,3.57,0,8,50,50,75,0,38,-90,13,1603,953
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,401,4.217,0,6,30,28,69,0,41,-100,15,1691,996
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,355,4.059,0,13,32,13,44,0,35,-83,8,1441,728
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,396,3.591,0,20,57,26,62,0,38,-72,11,1422,895
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,435,4.407,0,20,44,44,77,0,38,-78,14,1917,1087
33405046-04ee-4058-a950-d606f8c30852 2014,413,4.368,0,11,67,67,51,0,30,-87,12,1804,963
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,353,3.895,0,2,63,16,42,0,41,-93,7,1375,651
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,372,4.027,0,4,55,48,47,0,34,-62,11,1498,928
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,473,4.303999999999999,0,8,69,69,65,0,46,-121,10,2036,1016
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,406,4.478,0,9,67,27,73,0,33,-73,16,1818,907
