Key,Kick Return Yards,Kick Return Avg Yards,Kick Return Fair Catches,Kick Return Longest,Kick Return Returns,Kick Return Touchdowns
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2018,653,23.320999999999998,0,0,28,0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,975,24.375,0,0,40,0
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,663,22.862,0,0,29,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,283,21.769000000000002,0,0,13,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,725,21.97,0,0,33,0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,1097,24.378,0,0,45,0
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,570,19.655,0,0,29,0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,440,19.13,0,0,23,0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,482,24.1,0,0,20,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,644,21.467,0,0,30,0
33405046-04ee-4058-a950-d606f8c30852 2018,540,24.545,0,0,22,0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,631,20.355,0,0,31,0
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,689,22.226,0,0,31,0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,582,22.385,0,0,26,0
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,560,24.348000000000003,0,0,23,0
f0e724b0-4cbf-495a-be47-013907608da9 2018,944,26.221999999999998,0,97,36,1
de760528-1dc0-416a-a978-b510d20692ff 2018,536,21.44,0,0,25,0
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,834,21.385,0,0,39,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,669,23.069000000000003,0,0,29,0
