,Player Season,Player ID,Team ID,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
151,2018,8fb2ca06-3d13-4552-98e0-7b913b4ab5b9,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,9,4,85,4,1,3,570,0,51,5186
152,2018,058c99fc-470c-4579-a165-03e043335cc1,22052ff7-c065-42ee-bc8f-c4691c50e624,6,1,70,1,0,0,295,1,56,4443
153,2018,4b99ead5-0f79-4899-84a7-075c08890698,7b112545-38e6-483c-a55c-96cf6ee49cb8,9,5,89,1,1,1,548,1,65,5627
154,2018,67f5e782-f91c-4536-9818-cf4a0e7e821d,c5a59daa-53a7-4de0-851f-fb12be893e9e,0,1,6,0,0,0,40,0,3,343
155,2018,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,a20471b4-a8d9-40c7-95ad-90cc30e46932,19,8,83,3,0,0,1013,0,41,5168
156,2018,7bb70550-c28a-4e47-9a13-cc0c0fef8b38,33405046-04ee-4058-a950-d606f8c30852,0,0,10,0,0,0,8,0,9,627
157,2018,beb64618-614c-49f7-a3aa-c0c75b7839ea,33405046-04ee-4058-a950-d606f8c30852,9,4,69,4,0,2,714,2,35,4164
158,2018,0d1171d4-c955-4966-9257-640b569866d1,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,5,3,49,0,0,0,217,1,39,3120
159,2018,d96ff17c-841a-4768-8e08-3a4cfcb7f717,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,7,4,36,2,0,0,485,2,12,2156
160,2018,0d1171d4-c955-4966-9257-640b569866d1,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,1,1,16,0,0,0,62,0,13,998
161,2018,63f8a401-f308-4463-9d0b-4335b98da682,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,7,2,62,1,0,0,344,0,47,3940
162,2018,c4cf84d0-6022-4ac1-a9ba-85587921c53f,0d855753-ea21-4953-89f9-0e20aff9eb73,21,7,101,0,0,0,862,2,64,6503
163,2018,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,f0e724b0-4cbf-495a-be47-013907608da9,0,0,4,2,0,0,12,1,0,102
164,2018,bd49c4a4-1314-45e1-bff5-fc67ba41d1dd,de760528-1dc0-416a-a978-b510d20692ff,1,0,4,0,0,0,53,0,2,258
165,2018,cd0f4ef0-9914-4125-be4d-804a72350ceb,de760528-1dc0-416a-a978-b510d20692ff,3,2,19,0,0,0,142,0,12,1226
166,2018,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,de760528-1dc0-416a-a978-b510d20692ff,5,3,32,1,0,1,357,0,14,1982
167,2018,93d11276-45d2-4168-a9b7-df0cbf12dabb,2eff2a03-54d4-46ba-890e-2bc3925548f3,6,2,75,0,0,0,427,0,57,4843
168,2018,d96ff17c-841a-4768-8e08-3a4cfcb7f717,2eff2a03-54d4-46ba-890e-2bc3925548f3,2,1,13,0,0,0,143,0,7,821
169,2018,f61e6429-3f9b-478c-8697-e00fe813ce9c,2eff2a03-54d4-46ba-890e-2bc3925548f3,0,0,13,0,0,1,33,0,11,804
170,2018,480277d1-47c9-44df-969e-038a84cd0fea,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,15,6,74,2,0,0,826,0,42,4648
