,Player ID,Season,Rec Air Yards,Team ID,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
90,63fd9abe-4bdf-4611-9497-0c67e030ce01,2012,54,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,9.526,0,0,2,20,0,19,0,23,0,181,127,0
91,7e5b8212-df93-4069-b3f0-be4b5cb47389,2012,30,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,10.333,0,0,3,17,0,3,0,7,0,31,1,0
92,82bce0be-9a87-4b6d-a85b-623bf8d1674e,2012,-3,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,8.522,0,0,3,27,9,23,1,30,1,196,199,0
93,c88d9352-b835-45ed-a909-1cfec09a58bc,2012,429,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,15.289,0,0,2,51,41,45,1,67,7,688,259,0
94,e1b29179-074b-4c91-8797-763b76ac618a,2012,288,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,12.621,0,0,5,50,24,29,1,50,3,366,78,0
95,618bedee-9259-4536-b0ff-fec98d2a20de,2013,476,768c92aa-75ff-4a43-bcc0-f2798c2e1724,14.675,0,0,4,57,42,40,6,85,3,587,111,0
96,8fc65820-f565-44e2-8635-3e1cdf165bf6,2013,56,768c92aa-75ff-4a43-bcc0-f2798c2e1724,8.3,0,0,0,16,0,10,0,17,0,83,27,0
97,bf52ff53-35a6-4696-ac6d-3fa952dc2c87,2013,238,768c92aa-75ff-4a43-bcc0-f2798c2e1724,16.647,0,0,1,59,59,17,1,32,3,283,45,0
98,cf23126f-055b-4617-819b-bb4bcb84541a,2013,37,768c92aa-75ff-4a43-bcc0-f2798c2e1724,15.6,0,0,1,28,0,5,1,9,0,78,41,0
99,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,2013,402,4809ecb0-abd3-451d-9c4a-92a90b83ca06,11.0,0,0,7,67,39,69,15,102,6,759,357,0
100,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,2013,297,4809ecb0-abd3-451d-9c4a-92a90b83ca06,10.927,0,0,1,29,19,41,5,67,2,448,151,0
101,9c04a540-cb7c-41dc-8e7c-50b7af29a3a2,2013,28,4809ecb0-abd3-451d-9c4a-92a90b83ca06,5.333,0,0,1,8,1,6,1,10,1,32,4,0
102,a212c5d8-67f8-48b9-99be-2c121ee56366,2013,-1,4809ecb0-abd3-451d-9c4a-92a90b83ca06,6.538,0,0,1,22,0,26,5,35,0,170,171,0
103,b37b5be9-4771-4368-988f-fb936f4fc0ad,2013,657,4809ecb0-abd3-451d-9c4a-92a90b83ca06,12.74,0,0,12,57,53,73,11,141,5,930,273,0
104,4a38cda2-e92f-47f8-b324-0c34e09d83f2,2013,-41,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,7.556,0,0,5,36,0,36,3,57,0,272,313,0
105,72f5a27a-544f-468a-b10b-89a1fc5d0e9f,2013,2,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5.0,0,0,4,12,0,2,1,7,0,10,8,0
106,769d7178-df4e-4127-8166-8116165921e8,2013,345,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,12.163,0,0,1,26,25,43,8,72,3,523,178,0
107,97c96dce-9b33-4d0e-ba01-5eb629192d19,2013,8,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,6.273,0,0,0,21,0,11,1,16,0,69,61,0
