Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2014 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Josh Gordon,Browns,2014,WR,5,5,23,24.0,3.0,0.0,303.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Josh Gordon,Browns,2017,WR,5,5,26,18.0,1.0,1.0,335.0,,,,,,,,,,,,,,,,,,,,
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2018 97354895-8c77-4fd4-a860-32e62ea7382a,Josh Gordon,Patriots,2018,WR,11,11,27,40.0,2.0,3.0,720.0,,,,,,,,,,,,,,,,,,,,
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2018 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Josh Gordon,Browns,2018,WR,1,1,27,1.0,1.0,1.0,17.0,,,,,,,,,,,,,,,,,,,,
a735765c-3ca8-4557-b06e-a30fd415982c 2012 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Torrey Smith,Ravens,2012,WR,16,16,23,49.0,0.0,8.0,855.0,,,3.0,3.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,
a735765c-3ca8-4557-b06e-a30fd415982c 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Torrey Smith,Ravens,2013,WR,16,16,24,65.0,17.0,4.0,1128.0,1.0,0.0,,,,,,,,,,,,,,,,,,
a735765c-3ca8-4557-b06e-a30fd415982c 2014 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Torrey Smith,Ravens,2014,WR,16,16,25,49.0,13.0,11.0,767.0,,,,,,,,,,,,,,,,,,,,
a735765c-3ca8-4557-b06e-a30fd415982c 2015 f0e724b0-4cbf-495a-be47-013907608da9,Torrey Smith,49ers,2015,WR,16,12,26,33.0,6.0,4.0,663.0,,,,,,,,,,,,,,,,,,,,
a735765c-3ca8-4557-b06e-a30fd415982c 2016 f0e724b0-4cbf-495a-be47-013907608da9,Torrey Smith,49ers,2016,WR,12,12,27,20.0,3.0,3.0,267.0,,,,,,,,,,,,,,,,,,,,
a735765c-3ca8-4557-b06e-a30fd415982c 2017 386bdbf9-9eea-4869-bb9a-274b0bc66e80,Torrey Smith,Eagles,2017,WR,16,14,28,36.0,1.0,2.0,430.0,,,1.0,-3.0,0.0,0.0,0.0,-3.0,,,,,,,,,,,,
a735765c-3ca8-4557-b06e-a30fd415982c 2018 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Torrey Smith,Panthers,2018,WR,11,6,29,17.0,0.0,2.0,190.0,,,,,,,,,,,,,,,,,,,,
c323cdb9-74bc-4d68-9358-609f80eedbb7 2012 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Deonte Thompson,Ravens,2012,WR,6,0,23,5.0,0.0,0.0,51.0,1.0,1.0,,,,,,,,,,,,,,,,,,
c323cdb9-74bc-4d68-9358-609f80eedbb7 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Deonte Thompson,Ravens,2013,WR,7,0,24,10.0,2.0,0.0,96.0,,,,,,,,,,,,,,,,,,,,
c323cdb9-74bc-4d68-9358-609f80eedbb7 2014 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Deonte Thompson,Bills,2014,WR,1,0,25,,,,,,,,,,,,,,,,,,,,,,,,
c323cdb9-74bc-4d68-9358-609f80eedbb7 2014 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Deonte Thompson,Ravens,2014,WR,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,
c323cdb9-74bc-4d68-9358-609f80eedbb7 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,Deonte Thompson,Bears,2015,WR,7,0,26,2.0,0.0,0.0,81.0,,,,,,,,,,,,,,,,,,,,
c323cdb9-74bc-4d68-9358-609f80eedbb7 2016 7b112545-38e6-483c-a55c-96cf6ee49cb8,Deonte Thompson,Bears,2016,WR,16,6,27,22.0,4.0,2.0,249.0,1.0,1.0,,,,,,,,,,,,,,,,,,
c323cdb9-74bc-4d68-9358-609f80eedbb7 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Deonte Thompson,Bills,2017,WR,11,7,28,27.0,2.0,1.0,430.0,,,2.0,-2.5,0.0,0.0,0.0,-5.0,,,,,,,,,,,,
c323cdb9-74bc-4d68-9358-609f80eedbb7 2017 7b112545-38e6-483c-a55c-96cf6ee49cb8,Deonte Thompson,Bears,2017,WR,5,3,28,11.0,1.0,1.0,125.0,1.0,0.0,,,,,,,,,,,,,,,,,,
c323cdb9-74bc-4d68-9358-609f80eedbb7 2018 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Deonte Thompson,Bills,2018,WR,5,2,29,3.0,0.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,
